source,src_state,src_district,district_code,lgd_district,lgd_state,method,score
PMJAY,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,603,Nicobars,Andaman And Nicobar Islands,alias_exact,100
PMJAY,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,632,North And Middle Andaman,Andaman And Nicobar Islands,exact_state,100
PMJAY,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,602,South Andamans,Andaman And Nicobar Islands,fuzzy_state,96
PMJAY,ANDHRA PRADESH,ANANTHPUR,502,Ananthapuramu,Andhra Pradesh,alias_exact,100
PMJAY,ANDHRA PRADESH,Alluri Sitharama Raju,745,Alluri Sitharama Raju,Andhra Pradesh,exact_state,100
PMJAY,ANDHRA PRADESH,Anakapalli,744,Anakapalli,Andhra Pradesh,exact_state,100
PMJAY,ANDHRA PRADESH,Annamayya,753,Annamayya,Andhra Pradesh,exact_state,100
PMJAY,ANDHRA PRADESH,Bapatla,750,Bapatla,Andhra Pradesh,exact_state,100
PMJAY,ANDHRA PRADESH,CHITTOOR,503,Chittoor,Andhra Pradesh,exact_state,100
PMJAY,ANDHRA PRADESH,CUDDAPAH,504,Y.S.R.,Andhra Pradesh,alias_exact,100
PMJAY,ANDHRA PRADESH,EAST GODAVARI,505,East Godavari,Andhra Pradesh,exact_state,100
PMJAY,ANDHRA PRADESH,Eluru,748,Eluru,Andhra Pradesh,exact_state,100
PMJAY,ANDHRA PRADESH,GUNTUR,506,Guntur,Andhra Pradesh,exact_state,100
PMJAY,ANDHRA PRADESH,KRISHNA,510,Krishna,Andhra Pradesh,exact_state,100
PMJAY,ANDHRA PRADESH,KURNOOL,511,Kurnool,Andhra Pradesh,exact_state,100
PMJAY,ANDHRA PRADESH,Kakinada,746,Kakinada,Andhra Pradesh,exact_state,100
PMJAY,ANDHRA PRADESH,Konaseema,747,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,alias_exact,100
PMJAY,ANDHRA PRADESH,NELLOR,515,Sri Potti Sriramulu Nellore,Andhra Pradesh,alias_exact,100
PMJAY,ANDHRA PRADESH,NTR,749,Ntr,Andhra Pradesh,exact_state,100
PMJAY,ANDHRA PRADESH,Nandyal,755,Nandyal,Andhra Pradesh,exact_state,100
PMJAY,ANDHRA PRADESH,PRAKASAM,517,Prakasam,Andhra Pradesh,exact_state,100
PMJAY,ANDHRA PRADESH,Palnadu,751,Palnadu,Andhra Pradesh,exact_state,100
PMJAY,ANDHRA PRADESH,Parvathipuram Manyam,743,Parvathipuram Manyam,Andhra Pradesh,exact_state,100
PMJAY,ANDHRA PRADESH,SRIKAKULAM,519,Srikakulam,Andhra Pradesh,exact_state,100
PMJAY,ANDHRA PRADESH,Sri Sathya Sai,754,Sri Sathya Sai,Andhra Pradesh,exact_state,100
PMJAY,ANDHRA PRADESH,Tirupati,752,Tirupati,Andhra Pradesh,exact_state,100
PMJAY,ANDHRA PRADESH,VISHAKHAPATNAM,520,Visakhapatnam,Andhra Pradesh,fuzzy_state,96
PMJAY,ANDHRA PRADESH,VIZIANAGARAM,521,Vizianagaram,Andhra Pradesh,exact_state,100
PMJAY,ANDHRA PRADESH,WEST GODAVARI,523,West Godavari,Andhra Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,ANJAW,628,Anjaw,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,CHANGLANG,229,Changlang,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,EAST KAMENG,231,East Kameng,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,EAST SIANG,232,East Siang,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,KAMLE,718,Kamle,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,KURUNG KUMEY,233,Kurung Kumey,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,Kra Daadi,677,Kra Daadi,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,LEPARADA,724,Leparada,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,LOHIT,234,Lohit,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,LONGDING,666,Longding,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,235,Lower Dibang Valley,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,LOWER SIANG,719,Lower Siang,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,LOWER SUBANSIRI,236,Lower Subansiri,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,NAMSAI,678,Namsai,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,PAKKE KESSANG,723,Pakke Kessang,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,PAPUM PARE,237,Papum Pare,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,SHI YOMI,725,Shi Yomi,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,SIANG,679,Siang,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,TAWANG,238,Tawang,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,TIRAP,239,Tirap,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,UPPER SIANG,240,Upper Siang,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,UPPER SUBANSIRI,241,Upper Subansiri,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,WEST KAMENG,242,West Kameng,Arunachal Pradesh,exact_state,100
PMJAY,ARUNACHAL PRADESH,WEST SIANG,243,West Siang,Arunachal Pradesh,exact_state,100
PMJAY,ASSAM,BAKSA,616,Baksa,Assam,exact_state,100
PMJAY,ASSAM,BARPETA,280,Barpeta,Assam,exact_state,100
PMJAY,ASSAM,BONGAIGAON,281,Bongaigaon,Assam,exact_state,100
PMJAY,ASSAM,Biswanath,705,Biswanath,Assam,exact_state,100
PMJAY,ASSAM,CHIRANG,612,Chirang,Assam,exact_state,100
PMJAY,ASSAM,Cachar,282,Cachar,Assam,exact_state,100
PMJAY,ASSAM,DARRANG,283,Darrang,Assam,exact_state,100
PMJAY,ASSAM,DHEMAJI,284,Dhemaji,Assam,exact_state,100
PMJAY,ASSAM,DHUBRI,285,Dhubri,Assam,exact_state,100
PMJAY,ASSAM,DIBRUGARH,286,Dibrugarh,Assam,exact_state,100
PMJAY,ASSAM,GOALPARA,287,Goalpara,Assam,exact_state,100
PMJAY,ASSAM,GOLAGHAT,288,Golaghat,Assam,exact_state,100
PMJAY,ASSAM,HAILAKANDI,289,Hailakandi,Assam,exact_state,100
PMJAY,ASSAM,HOJAI,709,Hojai,Assam,exact_state,100
PMJAY,ASSAM,JORHAT,290,Jorhat,Assam,exact_state,100
PMJAY,ASSAM,KAMRUP,291,Kamrup,Assam,exact_state,100
PMJAY,ASSAM,KAMRUP METRO,618,Kamrup Metro,Assam,exact_state,100
PMJAY,ASSAM,KARBI ANGLONG,292,Karbi Anglong,Assam,exact_state,100
PMJAY,ASSAM,KARIMGANJ,293,Karimganj,Assam,exact_state,100
PMJAY,ASSAM,KOKRAJHAR,294,Kokrajhar,Assam,exact_state,100
PMJAY,ASSAM,LAKHIMPUR,295,Lakhimpur,Assam,exact_state,100
PMJAY,ASSAM,MAJULI,706,Majuli,Assam,exact_state,100
PMJAY,ASSAM,MARIGAON,296,Marigaon,Assam,exact_state,100
PMJAY,ASSAM,NAGAON,297,Nagaon,Assam,exact_state,100
PMJAY,ASSAM,NALBARI,298,Nalbari,Assam,exact_state,100
PMJAY,ASSAM,NORTH CACHAR HILL,299,Dima Hasao,Assam,alias_exact,100
PMJAY,ASSAM,SIBSAGAR,300,Sivasagar,Assam,alias_exact,100
PMJAY,ASSAM,SONITPUR,301,Sonitpur,Assam,exact_state,100
PMJAY,ASSAM,SOUTH SALMARA MANCACHAR,707,South Salmara Mancachar,Assam,exact_state,100
PMJAY,ASSAM,TINSUKIA,302,Tinsukia,Assam,exact_state,100
PMJAY,ASSAM,UDALGURI,617,Udalguri,Assam,exact_state,100
PMJAY,ASSAM,WEST KARBI ANGLONG,710,West Karbi Anglong,Assam,exact_state,100
PMJAY,BIHAR,ARARIA,188,Araria,Bihar,exact_state,100
PMJAY,BIHAR,ARWAL,611,Arwal,Bihar,exact_state,100
PMJAY,BIHAR,AURANGABAD,189,Aurangabad,Bihar,exact_state,100
PMJAY,BIHAR,BANKA,190,Banka,Bihar,exact_state,100
PMJAY,BIHAR,BEGUSARAI,191,Begusarai,Bihar,exact_state,100
PMJAY,BIHAR,BHAGALPUR,192,Bhagalpur,Bihar,exact_state,100
PMJAY,BIHAR,BHOJPUR,193,Bhojpur,Bihar,exact_state,100
PMJAY,BIHAR,BUXAR,194,Buxar,Bihar,exact_state,100
PMJAY,BIHAR,DARBHANGA,195,Darbhanga,Bihar,exact_state,100
PMJAY,BIHAR,EAST CHAMPARAN,213,Purbi Champaran,Bihar,alias_exact,100
PMJAY,BIHAR,GAYA,196,Gaya,Bihar,exact_state,100
PMJAY,BIHAR,GOPALGANJ,197,Gopalganj,Bihar,exact_state,100
PMJAY,BIHAR,JAMUI,198,Jamui,Bihar,exact_state,100
PMJAY,BIHAR,JEHANABAD,199,Jehanabad,Bihar,exact_state,100
PMJAY,BIHAR,KAIMUR (BHABUA),200,Kaimur (Bhabua),Bihar,exact_state,100
PMJAY,BIHAR,KATIHAR,201,Katihar,Bihar,exact_state,100
PMJAY,BIHAR,KHAGARIA,202,Khagaria,Bihar,exact_state,100
PMJAY,BIHAR,KISHANGANJ,203,Kishanganj,Bihar,exact_state,100
PMJAY,BIHAR,LAKHISARAI,204,Lakhisarai,Bihar,exact_state,100
PMJAY,BIHAR,MADHEPURA,205,Madhepura,Bihar,exact_state,100
PMJAY,BIHAR,MADHUBANI,206,Madhubani,Bihar,exact_state,100
PMJAY,BIHAR,MUNGER,207,Munger,Bihar,exact_state,100
PMJAY,BIHAR,MUZAFFARPUR,208,Muzaffarpur,Bihar,exact_state,100
PMJAY,BIHAR,NALANDA,209,Nalanda,Bihar,exact_state,100
PMJAY,BIHAR,NAWADA,210,Nawada,Bihar,exact_state,100
PMJAY,BIHAR,PATNA,212,Patna,Bihar,exact_state,100
PMJAY,BIHAR,PURNIA,214,Purnia,Bihar,exact_state,100
PMJAY,BIHAR,ROHTAS,215,Rohtas,Bihar,exact_state,100
PMJAY,BIHAR,SAHARSA,216,Saharsa,Bihar,exact_state,100
PMJAY,BIHAR,SAMASTIPUR,217,Samastipur,Bihar,exact_state,100
PMJAY,BIHAR,SARAN,218,Saran,Bihar,exact_state,100
PMJAY,BIHAR,SHEIKHPURA,219,Sheikhpura,Bihar,exact_state,100
PMJAY,BIHAR,SHEOHAR,220,Sheohar,Bihar,exact_state,100
PMJAY,BIHAR,SITAMARHI,221,Sitamarhi,Bihar,exact_state,100
PMJAY,BIHAR,SIWAN,222,Siwan,Bihar,exact_state,100
PMJAY,BIHAR,SUPAUL,223,Supaul,Bihar,exact_state,100
PMJAY,BIHAR,VAISHALI,224,Vaishali,Bihar,exact_state,100
PMJAY,BIHAR,WEST CHAMPARAN,211,Pashchim Champaran,Bihar,alias_exact,100
PMJAY,CHANDIGARH,CHANDIGARH,44,Chandigarh,Chandigarh,exact_state,100
PMJAY,CHHATTISGARH,BALOD,646,Balod,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,BALODA BAZAR,644,Balodabazar-Bhatapara,Chhattisgarh,alias_exact,100
PMJAY,CHHATTISGARH,BALRAMPUR,649,Balrampur-Ramanujganj,Chhattisgarh,alias_exact,100
PMJAY,CHHATTISGARH,BASTAR,374,Bastar,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,BEMETARA,650,Bemetara,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,BILASPUR,375,Bilaspur,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,Bijapur(CGH),636,Bijapur,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,DANTEWADA,376,Dakshin Bastar Dantewada,Chhattisgarh,alias_exact,100
PMJAY,CHHATTISGARH,DHAMTARI,377,Dhamtari,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,DURG,378,Durg,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,GARIABAND,645,Gariyaband,Chhattisgarh,fuzzy_state,94
PMJAY,CHHATTISGARH,GAURELLA PENDRA MARWAHI,734,Gaurela-Pendra-Marwahi,Chhattisgarh,fuzzy_state,97
PMJAY,CHHATTISGARH,JANJGIR-CHAMPA,379,Janjgir-Champa,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,JASHPUR,380,Jashpur,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,KABIRDHAM,382,Kabeerdham,Chhattisgarh,alias_exact,100
PMJAY,CHHATTISGARH,KANKER,381,Uttar Bastar Kanker,Chhattisgarh,alias_exact,100
PMJAY,CHHATTISGARH,KHAIRGARH CHHUIKHADAN GANDAI,759,Khairagarh-Chhuikhadan-Gandai,Chhattisgarh,fuzzy_state,98
PMJAY,CHHATTISGARH,KONDAGAON,643,Kondagaon,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,KORBA,383,Korba,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,KORIYA,384,Korea,Chhattisgarh,alias_exact,100
PMJAY,CHHATTISGARH,MAHASAMUND,385,Mahasamund,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,MANENDRAGARH CHIRIMIRI BHARATPUR,760,Manendragarh-Chirmiri-Bharatpur(M C B),Chhattisgarh,alias_exact,100
PMJAY,CHHATTISGARH,MOHLA MANPUR AMBAGARH CHOUKI,761,Mohla-Manpur-Ambagarh Chouki,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,MUNGELI,647,Mungeli,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,NARAYANPUR,637,Narayanpur,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,RAIGARH,386,Raigarh,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,RAIPUR,387,Raipur,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,RAJNANDGAON,388,Rajnandgaon,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,SAKTI,762,Sakti,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,SARANGARH BILAIGARH,763,Sarangarh-Bilaigarh,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,SUKMA,642,Sukma,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,SURAJPUR,648,Surajpur,Chhattisgarh,exact_state,100
PMJAY,CHHATTISGARH,SURGUJA,389,Surguja,Chhattisgarh,exact_state,100
PMJAY,DADRA AND NAGAR HAVELI,DADRA & NAGAR HAVELI,465,Dadra And Nagar Haveli,The Dadra And Nagar Haveli And Daman And Diu,exact_state,100
PMJAY,DAMAN AND DIU,DAMAN,463,Daman,The Dadra And Nagar Haveli And Daman And Diu,exact_state,100
PMJAY,DAMAN AND DIU,DIU,464,Diu,The Dadra And Nagar Haveli And Daman And Diu,exact_state,100
PMJAY,GOA,NORTH GOA,551,North Goa,Goa,exact_state,100
PMJAY,GOA,SOUTH GOA,552,South Goa,Goa,exact_state,100
PMJAY,GUJARAT,AHMEDABAD,438,Ahmedabad,Gujarat,exact_state,100
PMJAY,GUJARAT,AMRELI,439,Amreli,Gujarat,exact_state,100
PMJAY,GUJARAT,ANAND,440,Anand,Gujarat,exact_state,100
PMJAY,GUJARAT,ARVALLI,672,Arvalli,Gujarat,exact_state,100
