feature,n_observed,n_parent_inherited,n_state_median,n_national_median,pct_observed
log_pop_now,785,0,0,0,100.0
density,640,140,5,0,81.5
pop_under15_pct,785,0,0,0,100.0
inmigrant_recent_per1000,780,0,5,0,99.4
diabetes_prev_pct,785,0,0,0,100.0
hypertension_prev_pct,785,0,0,0,100.0
obese_women_pct,785,0,0,0,100.0
central_obesity_pct,785,0,0,0,100.0
tobacco_use_pct,785,0,0,0,100.0
alcohol_use_pct,785,0,0,0,100.0
anaemia_women_pct,785,0,0,0,100.0
opd_diabetes_per1000,778,4,3,0,99.1
opd_hypertension_per1000,778,4,3,0,99.1
opd_neuropsych_per1000,778,4,3,0,99.1
opd_ophthalmic_per1000,778,4,3,0,99.1
ipd_tb_per1000,778,4,3,0,99.1
ipd_resp_chronic_per1000,778,4,3,0,99.1
cancer_incidence_per100k,785,0,0,0,100.0
child_diarrhoea_pct,785,0,0,0,100.0
child_ari_pct,785,0,0,0,100.0
child_anaemia_pct,785,0,0,0,100.0
child_undernutrition_pct,785,0,0,0,100.0
vector_borne_per1000,778,4,3,0,99.1
enteric_ipd_per1000,778,4,3,0,99.1
child_acute_hmis_per1000,778,4,3,0,99.1
snakebite_per1000,778,4,3,0,99.1
pm25_mean,640,140,5,0,81.5
poor_sanitation_pct,785,0,0,0,100.0
unsafe_water_pct,785,0,0,0,100.0
solid_fuel_ari_pct,785,0,0,0,100.0
primary_care_per100k,779,4,2,0,99.2
chc_per100k,779,4,2,0,99.2
public_hospitals_per100k,778,5,2,0,99.1
osm_hospitals_per100k,785,0,0,0,100.0
osm_clinics_per100k,785,0,0,0,100.0
pmjay_private_share,718,1,2,64,91.5
mbbs_seats_per100k,785,0,0,0,100.0
pg_seats_per100k,785,0,0,0,100.0
superspec_seats_per100k,785,0,0,0,100.0
med_college_hub,785,0,0,0,100.0
opd_total_per1000,778,4,3,0,99.1
acute_seasonality_amp,777,7,1,0,99.0
ipd_total_per1000,778,4,3,0,99.1
lab_tests_per1000,778,4,3,0,99.1
osm_labs_per100k,785,0,0,0,100.0
institutional_births_pct,785,0,0,0,100.0
child_full_immun_pct,771,0,14,0,98.2
child_acute_careseek_pct,551,4,230,0,70.2
chronic_treat_realiz_pct,783,0,0,2,99.7
csection_pct,785,0,0,0,100.0
screening_uptake_pct,785,0,0,0,100.0
health_insurance_pct,785,0,0,0,100.0
pmjay_hospitals_per100k,721,0,0,64,91.8
wealth_rwi,640,140,5,0,81.5
log_deposits_per_capita,781,0,4,0,99.5
bank_outlets_per100k,782,1,2,0,99.6
janaushadhi_per100k,785,0,0,0,100.0
osm_pharmacies_per100k,785,0,0,0,100.0
rural_stable_income_share,614,140,16,15,78.2
rural_income10k_share,771,0,14,0,98.2
vehicle_owning_share,614,140,16,15,78.2
worker_rate,640,140,5,0,81.5
oop_delivery_rs,770,1,14,0,98.1
viirs_level,640,140,5,0,81.5
kisan_cc_share,771,0,14,0,98.2
deposits_cagr_3y,778,0,7,0,99.1
credit_cagr_3y,778,0,7,0,99.1
nightlights_cagr,640,140,5,0,81.5
cd_ratio_pct,781,0,4,0,99.5
nonfarm_emp_per_1k,640,140,5,0,81.5
services_emp_share,640,140,5,0,81.5
vehicle_reg_per1000,713,29,9,34,90.8
vehicle_4w_share,690,30,31,34,87.9
vehicle_reg_growth,673,39,39,34,85.7
grad_share,780,0,5,0,99.4
women_schooling_pct,785,0,0,0,100.0
clean_fuel_pct,785,0,0,0,100.0
facility_growth_pct,733,7,16,29,93.4
obesity_delta,646,0,95,44,82.3
insurance_delta,646,0,95,44,82.3
immunisation_delta,629,0,112,44,80.1
inst_births_delta,646,0,95,44,82.3
ageing_transition,646,0,95,44,82.3
sanitation_delta,646,0,95,44,82.3
pop_growth_15_25,785,0,0,0,100.0
