Sl. No.,State/UT,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
1,Andaman and Nicobar Islands,0,0.1,1.1,2.3,2.6,2.4,2.2
2,Andhra Pradesh,379.2,1693,1909.5,2717.3,3356.1,3892.7,3195.9
3,Arunachal Pradesh,0,0.3,0.1,0.2,1.9,2.6,6
4,Assam,0.2,0.2,141,267.4,392,898.1,783
5,Bihar,24.9,163.2,80.3,137.2,231.8,424.2,949.6
6,Chandigarh,0.7,3.7,3.3,5.5,9.5,17.7,18.8
7,Chhattisgarh,258.1,767.6,548.6,997.6,1542.5,2199.1,1851.8
8,Goa,0,0.1,0.3,0.4,0.8,1.5,1.6
9,Gujarat,600.2,2153.6,695.6,1620.6,2646.5,3607,3048.4
10,Haryana,20.6,133.4,158.2,242.2,425.4,900.6,1090.2
11,Himachal Pradesh,10.6,50.5,36,70.8,80.7,90.2,91.7
12,Jammu and Kashmir,5.7,36.6,67.1,454,715.4,833.3,624.4
13,Jharkhand,110.6,396.3,298.8,446.1,499.2,583.7,469.7
14,Karnataka,307.4,839.3,792.9,1118.3,1682.1,2083.6,1728
15,Kerala,0,690.1,768.4,1569.9,1702.7,1736.8,1236.2
16,Ladakh,0,0,0,0.7,8.5,10.5,10.7
17,Lakshadweep,0,0,0,0.2,1.3,1.3,1.1
18,Madhya Pradesh,68.5,415.3,549.1,1169.6,1935.4,1938.2,2032.2
19,Maharashtra,238.7,485.3,537.1,736,770,918.6,2435.1
20,Manipur,2.8,20,16.6,31,54,69.8,80.4
21,Meghalaya,0.8,95.9,95.6,117.6,180.7,218.4,199.1
22,Mizoram,5.9,26.2,21.1,17.7,31.4,40.1,37.3
23,Nagaland,0.4,14.1,10.8,11.2,26.9,64.2,58.3
24,Puducherry,0,1.2,1.1,7.5,20.4,33.9,27.8
25,Punjab,0,237.2,473.4,668.8,381.1,729.8,633.3
26,Rajasthan,0,395.5,210,826.3,1717.9,2124.3,1611.7
27,Sikkim,0,1.7,1.6,1.9,4.4,7.3,6.2
28,Tamil Nadu,487.1,1017.2,828.5,1639.8,1374.1,1352.6,1308.6
29,Telangana,0,0,0,695.8,1146,1306.9,1200.9
30,Dadra and Nagar Haveli and Daman and Diu,8,31.2,11.7,14.9,16.5,14.7,14
31,Tripura,4,30.4,24.1,40.6,79,112.6,93.4
32,Uttar Pradesh,86.6,336.9,302.2,576.8,1288.5,3026.4,3160.7
33,Uttarakhand,22.3,119.3,173.7,401.1,594.8,816.4,706.6
