Sl. No.,State/UT,Number of Hospital Admissions
1,Andaman and Nicobar Islands,2655
2,Andhra Pradesh,5891958
3,Arunachal Pradesh,2410
4,Assam,1000966
5,Bihar,929878
6,Chandigarh,45277
7,Chhattisgarh,5220078
8,Goa,4855
9,Gujarat,4741715
10,Haryana,1330435
11,Himachal Pradesh,254606
12,Jammu and Kashmir,1197845
13,Jharkhand,1872507
14,Karnataka,7642623
15,Kerala,6016085
16,Ladakh,12485
17,Lakshadweep,952
18,Madhya Pradesh,3828214
19,Maharashtra,1517810
20,Manipur,143308
21,Meghalaya,766802
22,Mizoram,113411
23,Nagaland,65126
24,Puducherry,79438
25,Punjab,1987142
26,Rajasthan,4907118
27,Sikkim,18237
28,Tamil Nadu,9680501
29,Telangana,1495417
30,Dadra and Nagar Haveli and Daman and Diu,115657
31,Tripura,301874
32,Uttar Pradesh,3656035
33,Uttarakhand,1066804
