Specialty,Authorized Hospital Admissions (Count),Authorized Hospital Admissions (Amount in Crores of Rupees)
Burns Management,15655,67
Cardiology,296375,1479
Cardio-thoracic Vascular Surgery,84346,850
Diagnostics,363905,96
Emergency Room Packages,191487,108
General Surgery,1716386,1707
Infectious Diseases,811679,214
Interventional Neuroradiology,5778,44
Medical Management,3833011,2193
Mental Disorders Packages,10682,9
Multiple Specialties,472516,2084
Neo-natal care,229645,567
Neurosurgery,87081,408
Obstetrics and Gynaecology,1154482,1124
Oncology,1024425,1674
Ophthalmology,688016,544
Oral and Maxillofacial Surgery,186839,62
Organ Transplants,128,0.2
Orthopaedics,569804,1546
Otorhinolaryngology (ENT),115969,155
Paediatric medical management,254738,480
Paediatric surgery,26919,91
Plastic and Reconstructive Surgery,6997,22
Polytrauma,20519,79
Unspecified Surgical Packages,1381,3
Urology,356570,670
