Sl. No.,Specialty,Authorized Hospital Admissions Count (in lakh),Authorized Hospital Admissions Amount (Rs. In Crore)
1,General Medicine,296.09,18963.52
2,Cardiology,19.99,10834.11
3,Medical Oncology,61.29,9090.75
4,Orthopedics,33.97,8934.55
5,General Surgery,39.97,8401.65
6,Urology,25.94,6363.1
7,Radiation Oncology,8.52,5830.05
8,Cardiothoracic Vascular Surgery,10.31,5594.47
9,Obstetrics and Gynaecology,51.76,5284.55
10,Ophthalmology,47.65,3925.38
11,Neo - natal Care,12.96,3168.95
12,Neurosurgery,5.57,2906.84
13,Surgical Oncology,5,2428.58
14,Pediatric Medical Management,14.34,2189.69
15,Infectious Diseases,5.76,1865.85
16,ENT,7.35,1320.1
17,Pediatric Surgery,7.29,1052.96
18,Polytrauma,3.68,848.04
19,Emergency Room Packages,17.86,421.72
20,Plastic and Reconstructive Surgery,1.23,281.72
