Sl. No.,State/UT,2021-22 - Count,2021-22 - Amount,2022-23 - Count,2022-23 - Amount,2023-24 - Count,2023-24 - Amount
1,Andaman and Nicobar Islands,811,2.3,704,2.7,649,2.4
2,Andhra Pradesh,1136104,2717.3,1501392,3356.1,1842114,3892.7
3,Arunachal Pradesh,75,0.2,1011,1.9,1245,2.6
4,Assam,175306,267.4,239899,392,493215,898.2
5,Bihar,115867,137.2,213025,231.8,350476,424.2
6,Chandigarh,8346,5.5,10403,9.5,17352,17.7
7,Chhattisgarh,924658,997.6,1324562,1542.5,1584674,2199.1
8,Dadra and Nagar Haveli and Daman and Diu,20617,14.9,21492,16.5,18155,14.7
9,Goa,167,0.4,409,0.8,4088,1.5
10,Gujarat,566736,1620.6,915284,2646.5,1280684,3607
11,Haryana,185215,242.2,283896,425.4,623261,900.6
12,Himachal Pradesh,47280,70.8,62967,80.7,65760,90.2
13,Jammu and Kashmir,250953,454,384580,715.4,426754,833.3
14,Jharkhand,326475,446.1,411797,499.2,424305,583.7
15,Karnataka,1086297,1118.3,2115912,1682.1,3213349,2083.6
16,Kerala,1697442,1569.9,1222441,1702.7,1078041,1736.8
17,Ladakh,509,0.7,5180,8.5,6796,10.5
18,Lakshadweep,66,0.2,424,1.3,461,1.3
19,Madhya Pradesh,714846,1169.6,1171947,1935.4,1270848,1938.2
20,Maharashtra,321002,736,326121,770,394095,918.6
21,Manipur,24060,31,38923,54,50988,69.8
22,Meghalaya,145301,117.6,185236,180.7,187528,218.4
23,Mizoram,13855,17.7,23261,31.4,31506,40.1
24,Nagaland,5653,11.3,12479,26.9,29329,64.3
25,Puducherry,11920,7.5,24885,20.4,38674,33.9
26,Punjab,535403,668.8,299478,381.1,532680,729.8
27,Rajasthan,643824,826.3,1633608,1717.9,1978424,2124.3
28,Sikkim,2872,1.9,4818,4.4,7308,7.3
29,Tamil Nadu,4397356,1639.8,1765711,1374.1,1057878,1352.6
30,Telangana,323421,695.8,553499,1146,618497,1306.9
31,Tripura,46026,40.6,76425,79,98162,112.6
32,Uttar Pradesh,501095,576.8,842749,1288.5,1700537,3026.4
33,Uttarakhand,181835,401.1,260694,594.8,372473,816.4
