Sl. No.,District,Number of Authorized Hospital Admissions
1,Ahmadabad,292857
2,Amreli,78506
3,Anand,87465
4,Arvalli,31636
5,Banas Kantha,127157
6,Bharuch,56608
7,Bhavnagar,86639
8,Botad,25873
9,Chhotaudepur,21309
10,Dang,3289
11,Devbhumi Dwarka,24689
12,Dohad,43699
13,Gandhinagar,50041
14,Gir Somnath,58789
15,Jamnagar,61421
16,Junagadh,90586
17,Kachchh,85043
18,Kheda,67273
19,Mahesana,101973
20,Mahisagar,23772
21,Morbi,46651
22,Narmada,16248
23,Navsari,56510
24,Outside State,1815873
25,Panch Mahals,36477
26,Patan,67653
27,Porbandar,26083
28,Rajkot,178247
29,Sabar Kantha,65968
30,Surat,195036
31,Surendranagar,69431
32,Tapi,26087
33,Vadodara,111592
34,Valsad,48198
