District,No. of Authorized Hospital Admissions
Agra,4196
Aligarh,21644
Allahabad,3710
Ambedkar Nagar,3597
Amethi,5007
Amroha,3823
Auraiya,3394
Azamgarh,6605
Baghpat,2870
Bahraich,8990
Ballia,3871
Balrampur,2565
Banda,2779
Barabanki,5635
Bareilly,28201
Basti,5338
Bhadohi,4845
Bijnor,18415
Budaun,6137
Bulandshahr,13588
Chandauli,6354
Chitrakoot,1027
Deoria,6273
Etah,2184
Etawah,3690
Faizabad,5047
Farrukhabad,2302
Fatehpur,2471
Firozabad,2715
Gautam Buddha Nagar,3197
Ghaziabad,4072
Ghazipur,5471
Gonda,8085
Gorakhpur,16169
Hamirpur,1570
Hapur,2245
Hardoi,4228
Hathras,3313
Jalaun,5006
Jaunpur,5597
Jhansi,3652
Kannauj,3472
Kanpur Dehat,4204
Kanpur Nagar,5752
Kasganj,2981
Kaushambi,1079
Kheri,5527
Kushi Nagar,7452
Lalitpur,1674
Lucknow,10881
Maharajganj,5363
Mahoba,1972
Mainpuri,2755
Mathura,2973
Mau,4741
Meerut,7070
Mirzapur,5640
Moradabad,15592
Muzaffarnagar,6670
Pilibhit,10548
Pratapgarh,7860
Rae Bareli,4452
Rampur,6604
Saharanpur,13591
Sambhal,3320
Sant Kabeer Nagar,4775
Shahjahanpur,10595
Shamli,6368
Shravasti,1510
Siddharth Nagar,3142
Sitapur,7296
Sonbhadra,2999
Sultanpur,4187
Unnao,4210
Varanasi,18611
