State/UT,No. of Authorized Hospital Admission
Andaman and Nicobar Islands,5
Andhra Pradesh,129
Arunachal Pradesh,24
Assam,799
Bihar,139
Chandigarh,23
Chhattisgarh,2561
Dadra and Nagar Haveli and Daman and Diu,123
Gujarat,343
Haryana,261
Himachal Pradesh,513
Jammu and Kashmir and Ladakh,767
Jharkhand,179
Karnataka,5477
Kerala,2089
Madhya Pradesh,2243
Maharashtra,137
Manipur,23
Meghalaya,271
Mizoram,100
Nagaland,50
Puducherry,5
Punjab,929
Rajasthan,9
Sikkim,19
Tamil Nadu,2691
Tripura,43
Uttar Pradesh,547
Uttarakhand,428
