State/UT,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
Andaman and Nicobar Islands,14,152,339,811,704,649,243
Andhra Pradesh,141081,674315,738033,1136104,1501392,1842114,516404
Arunachal Pradesh,6,55,24,75,1011,1245,391
Assam,24,95,92451,175306,239899,493215,137235
Bihar,20880,162045,88465,115867,213025,350476,179364
Chandigarh,443,3799,5377,8346,10403,17352,5029
Chhattisgarh,342623,870250,515934,924658,1324562,1584674,474254
Dadra and Nagar Haveli and Daman and Diu,9293,36450,18943,20617,21492,18155,4052
Goa,4,52,139,167,409,4088,2246
Gujarat,422794,1667848,311163,566736,915284,1280684,372931
Haryana,12021,99371,138692,185215,283896,623261,217834
Himachal Pradesh,8949,49395,29204,47280,62967,65760,17050
Jammu and Kashmir,6356,67506,68052,250953,384580,426754,109175
Jharkhand,108943,411877,298053,326475,411797,424305,112730
Karnataka,87817,568518,658547,1086297,2115912,3213349,963118
Kerala,NA,974660,1043501,1697442,1222441,1078041,249213
Ladakh,NA,NA,NA,509,5180,6796,2896
Lakshadweep,NA,1,NA,66,424,461,113
Madhya Pradesh,47817,286663,383910,714846,1171947,1270848,402753
Maharashtra,111627,226488,250104,321002,326121,394095,311799
Manipur,1499,12978,16359,24060,38923,50988,20043
Meghalaya,1170,125003,123734,145301,185236,187528,54235
Mizoram,7126,27806,16983,13855,23261,31506,9647
Nagaland,276,10308,7357,5653,12479,29329,7301
Puducherry,NA,1372,2587,11920,24885,38674,10073
Punjab,NA,196772,422809,535403,299478,532680,149783
Rajasthan,0,416991,234271,643824,1633608,1978424,512947
Sikkim,9,1217,2022,2872,4818,7308,2274
Tamil Nadu,376589,817627,1641929,4397356,1765711,1057878,314642
Telangana,0,0,0,323421,553499,618497,166939
Tripura,7822,51164,30097,46026,76425,98162,26377
Uttar Pradesh,70081,293128,318526,501095,842749,1700537,630164
Uttarakhand,20864,130224,121578,181835,260694,372473,81277
