Sl. No.,State/UT,Claim (Rs. In Lakhs)
1,Assam,48.29
2,Bihar,726.13
3,Chandigarh,4.04
4,Chhattisgarh,12034.28
5,Dadra and Nagar Haveli,0.98
6,Daman and Diu,1.39
7,Gujarat,3158.18
8,Haryana,4503.74
9,Himachal Pradesh,75.65
10,Jammu and Kashmir,1180.21
11,Jharkhand,878.06
12,Kerala,3495.06
13,Ladakh,0.5
14,Madhya Pradesh,11934.11
15,Maharashtra,0.19
16,Manipur,21.62
17,Meghalaya,237.36
18,Mizoram,10.2
19,Nagaland,16.72
20,Puducherry,22.79
21,Punjab,2870.72
22,Tripura,60.89
23,Uttar Pradesh,13902.94
24,Uttarakhand,1057.39
