Sl. No.,State/UT,Central Share Released - 2019-20,Central Share Released - 2020-21,Central Share Released - 2021-22,Central Share Released - 2022-23,Central Share Released - 2023-24,Central Share Released - 2024-25
1,Andaman and Nicobar Islands,0.41,0.27,0.76,1,0.59,0.77
2,Andhra Pradesh,374.07,261.23,223.95,480.89,451.45,203.24
3,Arunachal Pradesh,0,0.67,0,3.8,3.47,3.76
4,Assam,133.23,12.1,87.91,209.33,292.06,289.68
5,Bihar,82.49,0,59.77,145.51,172.5,300
6,Chandigarh,3.82,1.84,2.49,6.41,8.96,4.51
7,Chhattisgarh,280.37,112.62,66,352.94,195.47,242.31
8,Dadra and Nagar Haveli and Daman and Diu,2.02,4.24,1.76,2.93,7.79,2.89
9,Goa,0.06,0.49,0.6,0.53,1.2,0
10,Gujarat,212.33,99.84,330.55,660.15,267.48,0
11,Haryana,58.69,71.92,89.95,143.5,95.17,51.19
12,Himachal Pradesh,19.12,32.93,33.71,64.32,47.91,49.71
13,Jammu and Kashmir,33.44,22.7,75.12,85.62,42.22,3
14,Jharkhand,126.5,100.32,7.98,0,83.55,270.63
15,Karnataka,254.13,160.85,414.11,647.74,320.59,371.74
16,Kerala,97.56,145.61,138.9,151.34,155.49,75.67
17,Ladakh,0,1.62,0.51,1.92,1.93,1.15
18,Lakshadweep,0,0,0.31,0.15,0.07,0
19,Madhya Pradesh,118.46,164.8,355.25,665.73,790.35,413.61
20,Maharashtra,241.88,376.65,324.75,388.03,548.4,371.88
21,Manipur,17.1,11.45,22.5,38.55,29.17,0
22,Meghalaya,18.07,49.52,22.28,47.31,49.74,3.65
23,Mizoram,12.41,14.97,16.58,26.3,23.35,11.66
24,Nagaland,10.89,12.27,14.09,21.69,28.6,11.05
25,Puducherry,0,1.23,0.11,7.98,5.3,2.15
26,Punjab,55.55,46.85,80.5,111.38,57.96,43.91
27,Rajasthan,200.07,258.31,96.39,416.96,606.04,209.48
28,Sikkim,0.09,1.85,1.04,2.3,6.01,2.95
29,Tamil Nadu,441.77,359.81,75.14,578.67,681.74,0
30,Telangana,0,0,150.26,173.54,135.75,170.48
31,Tripura,20.18,8.98,35.6,45.25,48.81,27.76
32,Uttar Pradesh,147.49,167.63,157.56,501.78,841.11,933.5
33,Uttarakhand,30.73,40.52,54.23,65.11,60.21,34.07
