Sl. No.,State/UT,2018-19 - Public,2018-19 - Private,2019-20 - Public,2019-20 - Private,2020-21 - Public,2020-21 - Private,2021-22 - Public,2021-22 - Private,2022-23 - Public,2022-23 - Private,2023-24 - Public,2023-24 - Private,2024-25 - Public,2024-25 - Private
1,Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Andhra Pradesh,0,0,0,9,0,0,0,148,0,88,0,1,0,0
3,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Assam,0,0,0,1,0,0,0,2,0,5,0,0,0,0
5,Bihar,0,17,0,34,0,5,0,1,0,1,0,0,0,0
6,Chandigarh,0,0,0,0,0,0,0,0,0,1,1,0,0,0
7,Chhattisgarh,0,0,0,2,0,0,0,1,0,0,0,0,0,9
8,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Goa,0,0,0,0,0,0,0,0,0,0,3,0,0,0
10,Gujarat,0,0,0,0,0,0,0,0,0,1,0,1,0,1
11,Haryana,0,0,0,0,0,4,0,1,0,10,4,9,1,6
12,Himachal Pradesh,0,0,11,0,1,4,1,4,0,3,3,3,0,0
13,Jammu and Kashmir,0,0,0,0,0,0,0,0,0,1,0,0,0,1
14,Jharkhand,0,20,0,3,0,16,0,0,0,40,0,81,0,24
15,Karnataka,0,0,0,1,0,8,0,11,0,129,0,27,0,0
16,Kerala,0,0,0,0,0,0,0,5,0,1,0,1,0,1
17,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Madhya Pradesh,0,0,0,0,0,3,0,10,0,87,0,53,0,286
20,Maharashtra,0,70,0,43,0,12,0,109,71,122,21,31,0,0
21,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,Meghalaya,0,0,0,0,0,0,0,0,0,1,7,1,1,0
23,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,22,0
25,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,2
26,Punjab,0,0,0,0,0,15,0,4,0,3,0,0,0,0
27,Rajasthan,0,0,0,0,0,0,0,1,0,8,0,2,0,0
28,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,Tamil Nadu,0,0,0,0,0,3,0,2,0,0,0,9,0,1
30,Telangana,0,0,0,0,0,0,0,6,0,2,0,0,0,1
31,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Uttar Pradesh,0,3,0,3,1,74,0,45,0,40,2,204,0,47
33,Uttarakhand,0,0,0,19,0,1,0,32,0,32,0,1,0,0
