District,Number of Eligible Families,Private Hospitals,Public Hospitals
Ahmadabad,453160,118,151
Amreli,96151,17,38
Anand,155676,20,34
Arvalli,70655,21,36
Banas Kantha,224390,72,150
Bharuch,114372,31,19
Bhavnagar,136929,27,80
Botad,28824,15,26
Chhotaudepur,105196,9,31
Dang,34898,1,7
Devbhumi Dwarka,20026,2,31
Dohad,208053,11,80
Gandhinagar,82410,18,48
Gir Somnath,42038,12,39
Jamnagar,96533,10,48
Junagadh,128001,21,52
Kachchh,137475,25,95
Kheda,182342,21,76
Mahesana,138153,26,81
Mahisagar,84839,10,40
Morbi,28859,7,36
Narmada,86963,3,13
Navsari,120924,12,38
Panch Mahals,125142,32,35
Patan,124303,22,39
Porbandar,38985,3,24
Rajkot,205778,52,102
Sabar Kantha,121152,33,63
Surat,504295,71,117
Surendranagar,130420,9,74
Tapi,107430,7,42
Vadodara,195363,38,89
Valsad,140555,13,71
