Sl. No.,State/UT,Number of Empanelled Hospitals under PMJAY (as on 01-03-2025),Total Operational Ayushman Arogya Mandir (AAM) (as on 28-02-2025)
1,Andaman and Nicobar Islands,7,129
2,Andhra Pradesh,2493,11862
3,Arunachal Pradesh,51,489
4,Assam,352,4961
5,Bihar,1115,10322
6,Chandigarh,31,60
7,Chhattisgarh,1661,5876
8,Dadra and Nagar Haveli and Daman and Diu,20,95
9,Delhi,73,NA
10,Goa,25,302
11,Gujarat,2666,10642
12,Haryana,1315,3256
13,Himachal Pradesh,287,2470
14,Jammu and Kashmir,256,3113
15,Jharkhand,557,4098
16,Karnataka,3560,10073
17,Kerala,588,7035
18,Ladakh,10,321
19,Lakshadweep,5,13
20,Madhya Pradesh,1084,12302
21,Maharashtra,1637,12249
22,Manipur,69,418
23,Meghalaya,174,614
24,Mizoram,88,409
25,Nagaland,77,470
26,Odisha,12,7349
27,Puducherry,30,127
28,Punjab,773,3126
29,Rajasthan,1904,11347
30,Sikkim,19,184
31,Tamil Nadu,2245,8246
32,Telangana,1425,5047
33,Tripura,138,1132
34,Uttar Pradesh,5876,22775
35,Uttarakhand,291,2244
36,West Bengal,43,13417
Total,Total,30957,176573
