Sl. No.,State/UT,2018-19 - Public,2018-19 - Private,2019-20 - Public,2019-20 - Private,2020-21 - Public,2020-21 - Private,2021-22 - Public,2021-22 - Private,2022-23 - Public,2022-23 - Private,2023-24 - Public,2023-24 - Private,2024-25 - Public,2024-25 - Private
1,Andaman and Nicobar Islands,3,0,0,0,0,0,0,0,4,0,0,0,0,0
2,Andhra Pradesh,45,84,671,570,1,60,590,99,44,88,33,87,30,65
3,Arunachal Pradesh,2,0,2,0,14,1,17,0,9,0,2,1,0,2
4,Assam,35,85,119,2,5,11,0,11,2,28,16,26,6,7
5,Bihar,558,61,22,98,1,31,2,34,1,69,1,80,2,79
6,Chandigarh,6,6,1,6,0,3,0,4,0,1,0,2,0,2
7,Chhattisgarh,2,0,591,0,361,300,28,94,28,122,22,19,6,50
8,Dadra and Nagar Haveli and Daman and Diu,7,0,0,0,0,0,0,0,0,0,8,5,0,0
9,Goa,9,0,2,2,1,0,2,0,0,0,0,0,0,0
10,Gujarat,1450,312,25,53,69,30,13,135,97,158,80,134,18,101
11,Haryana,144,207,11,110,6,37,2,57,0,126,338,121,1,79
12,Himachal Pradesh,133,34,2,9,0,12,0,24,2,24,1,30,0,11
13,Jammu and Kashmir,111,17,1,14,0,3,1,32,2,30,3,37,4,0
14,Jharkhand,220,168,13,31,0,34,4,34,1,24,1,22,1,8
15,Karnataka,395,206,2420,84,26,47,16,24,49,87,58,103,7,30
16,Kerala,147,80,39,63,4,109,7,72,1,43,3,1,1,18
17,Ladakh,9,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Lakshadweep,1,0,0,0,4,0,0,0,0,0,0,0,0,0
19,Madhya Pradesh,146,56,259,35,30,129,25,116,21,91,9,87,7,49
20,Maharashtra,82,310,92,38,19,206,5,63,3,86,5,92,2,16
21,Manipur,9,6,9,2,7,1,9,3,0,11,0,8,0,3
22,Meghalaya,145,2,1,11,2,4,1,0,0,0,4,0,2,2
23,Mizoram,77,2,0,3,1,2,0,0,1,0,0,1,1,0
24,Nagaland,39,4,4,6,1,3,3,0,0,2,1,11,2,0
25,NCT of Delhi,7,10,3,6,0,9,1,7,0,2,0,16,0,6
26,Odisha,1,0,9,0,0,0,0,0,0,1,1,0,0,0
27,PSU,0,0,1,0,0,0,1,0,0,0,0,0,0,0
28,Puducherry,2,0,10,8,0,2,0,6,0,2,0,0,0,0
29,Punjab,2,0,204,260,1,103,1,63,3,25,2,65,5,35
30,Rajasthan,13,9,27,0,749,271,42,421,60,209,31,64,0,0
31,Sikkim,5,1,0,0,0,0,6,0,0,1,1,1,2,2
32,Tamil Nadu,326,789,27,84,12,81,524,146,22,51,86,40,9,17
33,Telangana,38,1,4,0,2,1,142,246,826,52,2,56,1,18
34,Tripura,88,2,1,0,36,0,2,0,2,1,3,2,1,0
35,Uttar Pradesh,427,912,631,236,3,80,3,267,12,579,1810,579,62,236
36,Uttarakhand,97,48,6,1,0,14,0,20,0,25,1,48,1,27
37,West Bengal,5,0,20,0,0,3,0,0,2,0,0,5,0,7
