State,District,Number of Hospitals Empanelled - Private,Number of Hospitals Empanelled - Public,Number of Hospitals Empanelled - Total
Arunachal Pradesh,Anjaw,NA,1,1
Arunachal Pradesh,Changlang,NA,6,6
Arunachal Pradesh,East Kameng,NA,1,1
Arunachal Pradesh,East Siang,NA,4,4
Arunachal Pradesh,Kamle,NA,1,1
Arunachal Pradesh,Kra Daadi,NA,1,1
Arunachal Pradesh,Kurung Kumey,NA,1,1
Arunachal Pradesh,Leparada,NA,1,1
Arunachal Pradesh,Lohit,NA,1,1
Arunachal Pradesh,Longding,NA,1,1
Arunachal Pradesh,Lower Dibang Valley,NA,1,1
Arunachal Pradesh,Lower Siang,NA,1,1
Arunachal Pradesh,Lower Subansiri,NA,1,1
Arunachal Pradesh,Namsai,NA,3,3
Arunachal Pradesh,Pakke Kessang,NA,1,1
Arunachal Pradesh,Papum Pare,4,9,13
Arunachal Pradesh,SHI YOMI,NA,1,1
Arunachal Pradesh,Siang,NA,1,1
Arunachal Pradesh,Tawang,NA,1,1
Arunachal Pradesh,Tirap,NA,1,1
Arunachal Pradesh,Upper Siang,NA,2,2
Arunachal Pradesh,Upper Subansiri,NA,1,1
Arunachal Pradesh,West Kameng,NA,4,4
Arunachal Pradesh,West Siang,NA,1,1
Assam,Baksa,NA,3,3
Assam,Barpeta,8,9,17
Assam,Biswanath,1,2,3
Assam,Bongaigaon,3,6,9
Assam,Cachar,2,6,8
Assam,Charaideo,3,10,13
Assam,Chirang,NA,2,2
Assam,Darrang,3,2,5
Assam,Dhemaji,1,5,6
Assam,Dhubri,3,9,12
Assam,Dibrugarh,14,7,21
Assam,Dima Hasao,1,1,2
Assam,Goalpara,7,7,14
Assam,Golaghat,4,5,9
Assam,Hailakandi,NA,4,4
Assam,Hojai,4,7,11
Assam,Jorhat,3,3,6
Assam,Kamrup,13,13,26
Assam,Kamrup Metro,48,6,54
Assam,Karbi Anglong,3,5,8
Assam,Karimganj,2,10,12
Assam,Kokrajhar,1,4,5
Assam,Lakhimpur,8,6,14
Assam,Majuli,NA,1,1
Assam,Marigaon,NA,6,6
Assam,Nagaon,17,13,30
Assam,Nalbari,6,2,8
Assam,Sivasagar,5,3,8
Assam,Sonitpur,7,6,13
Assam,South Salmara Mancachar,NA,4,4
Assam,Tinsukia,3,7,10
Assam,Udalguri,NA,4,4
Assam,West Karbi Anglong,NA,3,3
Manipur,Bishnupur,NA,3,3
Manipur,Chandel,NA,2,2
Manipur,Churachandpur,1,2,3
Manipur,Imphal East,11,2,13
Manipur,Imphal West,15,5,20
Manipur,Jiribam,NA,1,1
Manipur,Kakching,2,2,4
Manipur,Kamjong,NA,1,1
Manipur,Kangpokpi,NA,2,2
Manipur,Noney,NA,1,1
Manipur,Pherzawl,NA,1,1
Manipur,Senapati,NA,3,3
Manipur,Tamenglong,NA,1,1
Manipur,Tengnoupal,NA,2,2
Manipur,Thoubal,2,5,7
Manipur,Ukhrul,NA,1,1
Meghalaya,East Garo Hills,NA,10,10
Meghalaya,East Jaintia Hills,NA,8,8
Meghalaya,East Khasi Hills,8,34,42
Meghalaya,North Garo Hills,NA,12,12
Meghalaya,Ri Bhoi,2,12,14
Meghalaya,South Garo Hills,NA,8,8
Meghalaya,South West Garo Hills,NA,11,11
Meghalaya,South West Khasi Hills,NA,5,5
Meghalaya,West Garo Hills,2,19,21
Meghalaya,West Jaintia Hills,3,17,20
Meghalaya,West Khasi Hills,2,18,20
Mizoram,Aizawl,4,19,23
Mizoram,Champhai,1,15,16
Mizoram,Kolasib,NA,7,7
Mizoram,Lawngtlai,2,6,8
Mizoram,Lunglei,1,13,14
Mizoram,Mamit,NA,8,8
Mizoram,Saiha,NA,5,5
Mizoram,Serchhip,NA,7,7
Nagaland,Mon,NA,7,7
Nagaland,Dimapur,13,6,19
Nagaland,Kiphire,NA,3,3
Nagaland,Kohima,5,6,11
Nagaland,Longleng,NA,2,2
Nagaland,Mokokchung,3,4,7
Nagaland,Peren,NA,3,3
Nagaland,Phek,1,5,6
Nagaland,Tuensang,2,6,8
Nagaland,Wokha,1,5,6
Nagaland,Zunheboto,1,2,3
Sikkim,East District,4,3,7
Sikkim,North District,NA,2,2
Sikkim,Pakyong,NA,2,2
Sikkim,Soreng,NA,1,1
Sikkim,South District,1,4,5
Sikkim,West District,NA,2,2
Tripura,Dhalai,NA,16,16
Tripura,Gomati,NA,16,16
Tripura,Khowai,NA,9,9
Tripura,North Tripura,NA,17,17
Tripura,Sepahijala,NA,19,19
Tripura,South Tripura,NA,26,26
Tripura,Unakoti,NA,8,8
Tripura,West Tripura,5,22,27
West Bengal,24 Paraganas North,1,1,2
West Bengal,24 Paraganas South,2,NA,2
West Bengal,Alipurduar,NA,1,1
West Bengal,Coochbehar,1,NA,1
West Bengal,Darjeeling,NA,1,1
West Bengal,Howrah,NA,2,2
West Bengal,Jalpaiguri,3,4,7
West Bengal,Kolkata,5,4,9
West Bengal,Maldah,NA,1,1
West Bengal,Medinipur East,NA,2,2
West Bengal,Medinipur West,NA,1,1
West Bengal,Murshidabad,NA,1,1
West Bengal,Nadia,NA,2,2
West Bengal,Paschim Bardhaman,2,6,8
West Bengal,Purulia,NA,1,1
