Sl. No.,State/UT,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
1,Andhra Pradesh,3,1,NA,1,NA,NA
2,Assam,NA,NA,NA,NA,10,2
3,Chandigarh,NA,NA,NA,1,1,NA
4,Chhattisgarh,3,7,2,11,3,5
5,Gujarat,61,NA,93,NA,57,22
6,Haryana,NA,NA,NA,NA,NA,2
7,Jammu and Kashmir,NA,NA,NA,1,NA,NA
8,Karnataka,NA,1,3,5,9,NA
9,Kerala,NA,NA,NA,58,88,NA
10,Maharashtra,12,15,37,17,1,1
11,Manipur,NA,NA,NA,NA,NA,1
12,Puducherry,NA,NA,NA,1,NA,1
13,Punjab,NA,8,10,16,2,4
14,Rajasthan,4,NA,NA,2,1,NA
15,Tripura,NA,NA,NA,NA,NA,2
16,Uttar Pradesh,NA,10,6,5,2,1
