State/UT,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
Andaman and Nicobar Islands,0.6,12.2,109.1,226.8,264.9,236.3,61
Andhra Pradesh,37918,169304.3,190953.9,271731.5,335611.8,389269.9,104895.3
Arunachal Pradesh,0.6,28.5,7.7,18.7,187.8,256.2,90.3
Assam,18.7,20.7,14095.2,26736.6,39198.4,89814.8,28055.6
Bihar,2493.8,16318.5,8027.9,13717.5,23175.4,42415.8,27668
Chandigarh,72.7,367.5,334.5,554.5,952.8,1766.9,588.8
Chhattisgarh,25811.8,76763.2,54855.2,99759.3,154248.9,219909.4,61968.4
Dadra and Nagar Haveli and Daman and Diu,797.4,3120.9,1172.4,1488.4,1646.3,1468.4,494.5
Goa,0.5,12.6,28.7,38,79.2,152.5,53.7
Gujarat,60023.9,215359.7,69562.2,162063,264646.6,360702.1,106330.2
Haryana,2063.9,13341.4,15822.4,24223.8,42536.1,90063.7,32556
Himachal Pradesh,1064.3,5045.4,3600,7082.7,8074.3,9019.5,2956.8
Jammu and Kashmir,569.6,3658.1,6714.9,45400.1,71539.2,83328.7,21158.4
Jharkhand,11056.3,39633.1,29884.1,44610.4,49915.1,58366.3,15753.8
Karnataka,30735.1,83926.7,79291.6,111833.1,168209.7,208359.9,56608.4
Kerala,0,69011.1,76838,156988.3,170269.1,173681.6,40578.5
Ladakh,0,0,0,68.2,846.4,1049.3,323.8
Lakshadweep,0,0,0,20.4,131.6,129.8,35.4
Madhya Pradesh,6849.3,41526.9,54910.1,116957.5,193544,193823.5,63055.9
Maharashtra,23869.8,48531.4,53705.9,73604.4,77001.3,91858.8,68935.2
Manipur,281.3,1998.4,1660.2,3096,5403.3,6983.7,2689.3
Meghalaya,83,9588,9557.9,11761.2,18070.3,21838.1,6679.4
Mizoram,586.5,2624.1,2105.4,1768.8,3141.9,4013.8,1445.2
Nagaland,36.2,1407.5,1076.9,1124.9,2692.9,6424.6,1669.8
Puducherry,0,119.3,109.6,750.3,2036.1,3386.6,881.3
Punjab,0,23723.7,47338.3,66884.2,38110.5,72978.9,21826.7
Rajasthan,0,39547.2,21000.4,82630.8,171789.6,212428.4,53099.3
Sikkim,1.4,167.3,162.8,192.1,439.1,727.9,163.8
Tamil Nadu,48706.1,101720.4,82847.6,163975.8,137410.2,135261.9,59185.5
Telangana,0,0,0,69582.8,114598,130693.2,35724.7
Tripura,403.6,3035.4,2409.9,4061.1,7903.6,11255.2,2874.2
Uttar Pradesh,8660.5,33686.5,30221.1,57683.5,128850.1,302642.2,109969.2
Uttarakhand,2230.9,11929.2,17370.4,40106,59479.2,81635.8,20714.8
