shapeID,shapeName,assigned_state,state_method,district_code,resolve_method,resolve_score,frame_name,frame_state
76128533B33103505211400,Nicobars,Andaman and Nicobar Islands,centroid,603,exact_state,100,Nicobars,Andaman And Nicobar Islands
76128533B28397307540277,North  & Middle Andaman,Andaman and Nicobar Islands,vote,632,exact_state,100,North And Middle Andaman,Andaman And Nicobar Islands
76128533B22587307937261,South Andaman,Andaman and Nicobar Islands,centroid,602,fuzzy_state,96,South Andamans,Andaman And Nicobar Islands
76128533B52664671961643,Anantapur,Andhra Pradesh,centroid,502,alias_exact,100,Ananthapuramu,Andhra Pradesh
76128533B22471914548132,Chittoor,Andhra Pradesh,centroid,503,exact_state,100,Chittoor,Andhra Pradesh
76128533B29138015770556,East Godavari,Andhra Pradesh,centroid,505,exact_state,100,East Godavari,Andhra Pradesh
76128533B72541188260561,Guntur,Andhra Pradesh,centroid,506,exact_state,100,Guntur,Andhra Pradesh
76128533B72109128179340,Kadapa(YSR),Andhra Pradesh,centroid,504,alias_exact,100,Y.S.R.,Andhra Pradesh
76128533B4481773749911,Krishna,Andhra Pradesh,centroid,510,exact_state,100,Krishna,Andhra Pradesh
76128533B28294794137747,Kurnool,Andhra Pradesh,centroid,511,exact_state,100,Kurnool,Andhra Pradesh
76128533B95075104846315,Prakasam,Andhra Pradesh,centroid,517,exact_state,100,Prakasam,Andhra Pradesh
76128533B55622097933343,Sri Potti Sriramulu Nellore,Andhra Pradesh,centroid,515,exact_state,100,Sri Potti Sriramulu Nellore,Andhra Pradesh
76128533B59405966069108,Srikakulam,Andhra Pradesh,centroid,519,exact_state,100,Srikakulam,Andhra Pradesh
76128533B71485440235524,Visakhapatnam,Andhra Pradesh,centroid,520,exact_state,100,Visakhapatnam,Andhra Pradesh
76128533B36164606132718,Vizianagaram,Andhra Pradesh,centroid,521,exact_state,100,Vizianagaram,Andhra Pradesh
76128533B19792346411952,West Godavari,Andhra Pradesh,centroid,523,exact_state,100,West Godavari,Andhra Pradesh
76128533B83105693975079,Yanam,Andhra Pradesh,centroid,601,exact_name_india,97,Yanam,Puducherry
76128533B55878637000592,Anjaw,Arunachal Pradesh,centroid,628,exact_state,100,Anjaw,Arunachal Pradesh
76128533B9558749744242,Changlang,Arunachal Pradesh,centroid,229,exact_state,100,Changlang,Arunachal Pradesh
76128533B11651252780045,Dibang Valley,Arunachal Pradesh,centroid,230,exact_state,100,Dibang Valley,Arunachal Pradesh
76128533B76129461078086,East Kameng,Arunachal Pradesh,centroid,231,exact_state,100,East Kameng,Arunachal Pradesh
76128533B53717296822608,East Siang,Arunachal Pradesh,centroid,232,exact_state,100,East Siang,Arunachal Pradesh
76128533B19898496046456,Kamle,Arunachal Pradesh,centroid,718,exact_state,100,Kamle,Arunachal Pradesh
76128533B12129983841645,Kra Daadi,Arunachal Pradesh,centroid,677,exact_state,100,Kra Daadi,Arunachal Pradesh
76128533B31405919461443,Kurung Kumey,Arunachal Pradesh,centroid,233,exact_state,100,Kurung Kumey,Arunachal Pradesh
76128533B25448742967716,Leparada,Arunachal Pradesh,centroid,724,exact_state,100,Leparada,Arunachal Pradesh
76128533B6828791241172,Lohit,Arunachal Pradesh,centroid,234,exact_state,100,Lohit,Arunachal Pradesh
76128533B22715430000002,Longding,Arunachal Pradesh,centroid,666,exact_state,100,Longding,Arunachal Pradesh
76128533B38784530776316,Lower Dibang Valley,Arunachal Pradesh,centroid,235,exact_state,100,Lower Dibang Valley,Arunachal Pradesh
76128533B49993259380917,Lower Siang,Arunachal Pradesh,centroid,719,exact_state,100,Lower Siang,Arunachal Pradesh
76128533B90913053845537,Lower Subansiri,Arunachal Pradesh,centroid,236,exact_state,100,Lower Subansiri,Arunachal Pradesh
76128533B1875965515331,Namsai,Arunachal Pradesh,centroid,678,exact_state,100,Namsai,Arunachal Pradesh
76128533B24017517661394,Pakke Kessang,Arunachal Pradesh,centroid,723,exact_state,100,Pakke Kessang,Arunachal Pradesh
76128533B17472905712757,Papum Pare,Arunachal Pradesh,centroid,237,exact_state,100,Papum Pare,Arunachal Pradesh
76128533B46084756537322,Shi Yomi,Arunachal Pradesh,centroid,725,exact_state,100,Shi Yomi,Arunachal Pradesh
76128533B95910687666425,Siang,Arunachal Pradesh,centroid,679,exact_state,100,Siang,Arunachal Pradesh
76128533B18668117085772,Tawang,Arunachal Pradesh,centroid,238,exact_state,100,Tawang,Arunachal Pradesh
76128533B99469070633974,Tirap,Arunachal Pradesh,centroid,239,exact_state,100,Tirap,Arunachal Pradesh
76128533B76058958071350,Upper Siang,Arunachal Pradesh,centroid,240,exact_state,100,Upper Siang,Arunachal Pradesh
76128533B84689409020934,Upper Subansiri,Arunachal Pradesh,centroid,241,exact_state,100,Upper Subansiri,Arunachal Pradesh
76128533B61235952222315,West Kameng,Arunachal Pradesh,centroid,242,exact_state,100,West Kameng,Arunachal Pradesh
76128533B95764075909869,West Siang,Arunachal Pradesh,centroid,243,exact_state,100,West Siang,Arunachal Pradesh
76128533B8221925175605,Baksa,Assam,centroid,616,exact_state,100,Baksa,Assam
76128533B47772746709007,Barpeta,Assam,centroid,280,exact_state,100,Barpeta,Assam
76128533B40714385808093,Biswanath,Assam,centroid,705,exact_state,100,Biswanath,Assam
76128533B46490409917345,Bongaigaon,Assam,centroid,281,exact_state,100,Bongaigaon,Assam
76128533B26964150246712,Cachar,Assam,centroid,282,exact_state,100,Cachar,Assam
76128533B89228414823983,Charaideo,Assam,centroid,708,exact_state,100,Charaideo,Assam
76128533B56012535339305,Chirang,Assam,centroid,612,exact_state,100,Chirang,Assam
76128533B96719327593873,Darrang,Assam,centroid,283,exact_state,100,Darrang,Assam
76128533B50650763703739,Dhemaji,Assam,centroid,284,exact_state,100,Dhemaji,Assam
76128533B25835998628545,Dhubri,Assam,centroid,285,exact_state,100,Dhubri,Assam
76128533B57825981663822,Dibrugarh,Assam,centroid,286,exact_state,100,Dibrugarh,Assam
76128533B66125202864966,Dima Hasao,Assam,centroid,299,exact_state,100,Dima Hasao,Assam
76128533B91472319248603,Goalpara,Assam,centroid,287,exact_state,100,Goalpara,Assam
76128533B55519385298440,Golaghat,Assam,centroid,288,exact_state,100,Golaghat,Assam
76128533B16749627383755,Hailakandi,Assam,centroid,289,exact_state,100,Hailakandi,Assam
76128533B70315194619807,Hojai,Assam,centroid,709,exact_state,100,Hojai,Assam
76128533B334793883930,Jorhat,Assam,centroid,290,exact_state,100,Jorhat,Assam
