district_code,specialty,km_to_alternative,nearest_alternative_code,district,state,nearest_alternative,pop_now,aspirational,is_post2011_district
2,burns,34.6083918362876,13,Budgam,Jammu And Kashmir,Srinagar,881757.4349712201,False,False
3,burns,43.09084832729522,2,Baramulla,Jammu And Kashmir,Budgam,1186220.1496902034,True,False
20,burns,48.57816763406116,22,Kullu,Himachal Pradesh,Mandi,455466.4264945463,False,False
23,burns,74.6586524891964,20,Shimla,Himachal Pradesh,Kullu,921473.7362462453,False,False
45,burns,45.65023663756293,51,Almora,Uttarakhand,Nainital,704035.586577016,False,False
46,burns,45.89459546892176,45,Bageshwar,Uttarakhand,Almora,291491.27627507417,False,False
47,burns,60.022646279543274,46,Chamoli,Uttarakhand,Bageshwar,482039.01386750053,False,False
53,burns,66.15383850765946,46,Pithoragarh,Uttarakhand,Bageshwar,552641.2825841503,False,False
55,burns,60.528475093866625,49,Tehri Garhwal,Uttarakhand,Dehradun,699331.7328543726,False,False
59,burns,59.8548865190685,63,Bhiwani,Haryana,Hisar,1319359.1693796264,False,False
65,burns,46.0929141674217,66,Jind,Haryana,Kaithal,1576770.3602735875,False,False
66,burns,35.462757535632385,68,Kaithal,Haryana,Kurukshetra,1270675.345024759,False,False
89,burns,68.87200955005137,105,Baran,Rajasthan,Jhalawar,1448696.7961349234,True,False
90,burns,81.52109334853418,104,Barmer,Rajasthan,Jalore,2070594.6708198558,False,False
104,burns,68.52118207045781,115,Jalore,Rajasthan,Sirohi,1231454.0442674311,False,False
110,burns,97.30027324811027,86,Nagaur,Rajasthan,Ajmer,2005145.8623586225,False,False
112,burns,51.56767878125507,111,Rajsamand,Rajasthan,Pali,1408982.1389546285,False,False
129,burns,48.16644009679761,162,Bara Banki,Uttar Pradesh,Lucknow,3856710.19049542,False,False
137,burns,48.38752140237796,148,Deoria,Uttar Pradesh,Gorakhpur,3550874.5767660798,False,False
141,burns,87.23010998544125,122,Farrukhabad,Uttar Pradesh,Auraiya,2230034.1291005206,False,False
142,burns,47.32740213228169,175,Fatehpur,Uttar Pradesh,Rae Bareli,3109074.9002318797,True,False
149,burns,71.55738246318437,156,Hamirpur,Uttar Pradesh,Kanpur Dehat,1460520.5529266912,False,False
164,burns,57.83140217674182,148,Mahrajganj,Uttar Pradesh,Gorakhpur,3372605.8809874007,False,False
168,burns,48.58962267108519,146,Mau,Uttar Pradesh,Ghazipur,2313272.5339235114,False,False
172,burns,47.766305797616354,169,Muzaffarnagar,Uttar Pradesh,Meerut,3452632.6678107176,False,False
173,burns,67.11044243478518,130,Pilibhit,Uttar Pradesh,Bareilly,2553263.3739700923,False,False
174,burns,60.96467100683685,185,Pratapgarh,Uttar Pradesh,Sultanpur,3982784.634697654,False,False
177,burns,30.898992913341395,76,Saharanpur,Uttar Pradesh,Yamunanagar,4190484.76927858,False,False
185,burns,52.249242268976964,140,Sultanpur,Uttar Pradesh,Ayodhya,2661545.809931744,False,False
189,burns,44.029927676474216,215,Aurangabad,Bihar,Rohtas,3424661.8635273497,True,False
192,burns,48.61008455690462,330,Bhagalpur,Bihar,Godda,3893149.0191134466,False,False
201,burns,33.80773023630611,214,Katihar,Bihar,Purnia,3829282.487333551,True,False
203,burns,71.0929829796671,214,Kishanganj,Bihar,Purnia,2204597.349093954,False,False
206,burns,68.42505063548168,221,Madhubani,Bihar,Sitamarhi,5405607.876111588,False,False
210,burns,32.619109554221275,334,Nawada,Bihar,Koderma,2925311.9520525066,True,False
211,burns,86.20026106468595,164,Pashchim Champaran,Bihar,Mahrajganj,4925819.392647587,False,False
214,burns,33.80773023630611,201,Purnia,Bihar,Katihar,4128523.677405553,True,False
215,burns,44.029927676474216,189,Rohtas,Bihar,Aurangabad,3792902.132996359,False,False
217,burns,69.89679415326673,208,Samastipur,Bihar,Muzaffarpur,5574249.113321113,False,False
219,burns,37.979524554345744,210,Sheikhpura,Bihar,Nawada,678723.131935972,True,False
221,burns,54.927559307546524,208,Sitamarhi,Bihar,Muzaffarpur,4191104.9649816803,True,False
226,burns,180.52057262104933,203,Mangan,Sikkim,Kishanganj,46804.9388855954,False,False
251,burns,40.72704866278174,250,Zunheboto,Nagaland,Wokha,131118.96620326216,False,False
258,burns,42.84723621852616,613,Tamenglong,Manipur,Peren,126527.18209831938,False,False
259,burns,21.901424675658262,256,Thoubal,Manipur,Imphal West,390034.83407823497,False,False
273,burns,25.007498366989726,656,East Garo Hills,Meghalaya,North Garo Hills,224380.74245546357,False,False
275,burns,35.22917376612662,274,West Jaintia Hills,Meghalaya,East Khasi Hills,364368.8630291583,False,False
281,burns,40.499701401604085,280,Bongaigaon,Assam,Barpeta,752309.399349219,False,False
283,burns,31.176191140404313,617,Darrang,Assam,Udalguri,1095092.8751236002,True,False
285,burns,40.98256637941008,294,Dhubri,Assam,Kokrajhar,1578128.030808278,True,False
290,burns,31.888600684934254,246,Jorhat,Assam,Mokokchung,1092157.3966661568,False,False
292,burns,51.47055901057236,244,Karbi Anglong,Assam,Dimapur,598321.359002655,False,False
294,burns,40.98256637941008,285,Kokrajhar,Assam,Dhubri,1181644.8582820978,False,False
295,burns,55.446416486353854,290,Lakhimpur,Assam,Jorhat,1172329.9781332489,False,False
298,burns,27.43213012878457,291,Nalbari,Assam,Kamrup,1010371.8274121772,False,False
322,burns,48.162930287826235,607,Bokaro,Jharkhand,Ramgarh,2485996.819654438,True,False
329,burns,54.8118042257051,334,Giridih,Jharkhand,Koderma,3129858.0882147867,True,False
330,burns,48.61008455690462,192,Godda,Jharkhand,Bhagalpur,1578589.2427828372,True,False
342,burns,63.90057068255655,380,Simdega,Jharkhand,Jashpur,715837.0528195959,True,False
376,burns,55.462621433533954,374,Dakshin Bastar Dantewada,Chhattisgarh,Bastar,339630.03349785594,True,False
379,burns,57.96395841478488,644,Janjgir-Champa,Chhattisgarh,Balodabazar-Bhatapara,1970632.149394537,False,False
380,burns,63.90057068255655,342,Jashpur,Chhattisgarh,Simdega,1001883.4518761713,False,False
382,burns,85.84524994207356,375,Kabeerdham,Chhattisgarh,Bilaspur,1065946.087698693,False,False
385,burns,43.297305724151165,644,Mahasamund,Chhattisgarh,Balodabazar-Bhatapara,1178302.9875059666,True,False
394,burns,79.4446068715797,409,Betul,Madhya Pradesh,Narmadapuram,1879606.0050038917,False,False
402,burns,48.757133260589825,410,Dewas,Madhya Pradesh,Indore,1879699.8669341328,False,False
406,burns,73.37839602538507,89,Guna,Madhya Pradesh,Baran,1464447.1883400423,True,False
