district_code,specialty,n_providers,n_public,n_private,n_nfp,n_goi,n_basic_tier,specialty_name,tertiary,aspirational
1,burns,5,2,3,0,0,0,Burns Management,False,False
1,cardiology,2,1,1,0,0,0,Cardiology,True,False
1,emergency_room,8,6,2,0,0,1,Emergency Room Packages,False,False
1,ent,8,2,6,0,0,0,Otorhinolaryngology (ENT),False,False
1,general_medicine,19,8,10,1,0,2,General Medicine,False,False
1,general_surgery,16,5,11,0,0,1,General Surgery,False,False
1,medical_oncology,2,0,2,0,0,0,Medical Oncology,False,False
1,mental_disorders,1,1,0,0,0,0,Mental Disorders,False,False
1,neonatal,2,2,0,0,0,0,Neo-natal Care,False,False
1,neurosurgery,1,1,0,0,0,0,Neurosurgery,True,False
1,obgyn,11,4,7,0,0,0,Obstetrics & Gynaecology,False,False
1,ophthalmology,8,5,3,0,0,1,Ophthalmology,False,False
1,oral_maxillofacial,5,4,1,0,0,1,Oral & Maxillofacial Surgery,False,False
1,orthopaedics,12,5,7,0,0,1,Orthopaedics,False,False
1,paediatric_medicine,8,5,3,0,0,1,Paediatric Medical Management,False,False
1,paediatric_surgery,2,0,2,0,0,0,Paediatric Surgery,False,False
1,plastic_surgery,4,0,4,0,0,0,Plastic & Reconstructive Surgery,False,False
1,polytrauma,3,2,1,0,0,0,Polytrauma,False,False
1,radiation_oncology,1,1,0,0,0,0,Radiation Oncology,True,False
1,surgical_oncology,1,0,1,0,0,0,Surgical Oncology,False,False
1,urology,9,1,8,0,0,0,Urology,False,False
2,burns,1,0,1,0,0,0,Burns Management,False,False
2,cardiology,3,1,2,0,0,0,Cardiology,True,False
2,emergency_room,6,5,1,0,0,3,Emergency Room Packages,False,False
2,ent,4,2,2,0,0,1,Otorhinolaryngology (ENT),False,False
2,general_medicine,10,7,3,0,0,4,General Medicine,False,False
2,general_surgery,9,7,2,0,0,4,General Surgery,False,False
2,medical_oncology,1,0,1,0,0,0,Medical Oncology,False,False
2,mental_disorders,1,1,0,0,0,0,Mental Disorders,False,False
2,neonatal,1,1,0,0,0,0,Neo-natal Care,False,False
2,obgyn,7,6,1,0,0,3,Obstetrics & Gynaecology,False,False
2,ophthalmology,3,2,1,0,0,1,Ophthalmology,False,False
2,oral_maxillofacial,3,2,1,0,0,1,Oral & Maxillofacial Surgery,False,False
2,orthopaedics,5,4,1,0,0,2,Orthopaedics,False,False
2,paediatric_medicine,3,2,1,0,0,1,Paediatric Medical Management,False,False
2,plastic_surgery,1,0,1,0,0,0,Plastic & Reconstructive Surgery,False,False
2,urology,3,1,2,0,0,1,Urology,False,False
3,burns,1,1,0,0,0,1,Burns Management,False,True
3,cardiology,1,0,1,0,0,0,Cardiology,True,True
3,emergency_room,2,2,0,0,0,1,Emergency Room Packages,False,True
3,ent,8,4,3,1,0,3,Otorhinolaryngology (ENT),False,True
3,general_medicine,13,6,5,2,0,4,General Medicine,False,True
3,general_surgery,11,5,4,2,0,4,General Surgery,False,True
3,medical_oncology,1,0,0,1,0,0,Medical Oncology,False,True
3,neonatal,1,1,0,0,0,1,Neo-natal Care,False,True
3,obgyn,7,5,2,0,0,4,Obstetrics & Gynaecology,False,True
3,ophthalmology,5,3,1,1,0,3,Ophthalmology,False,True
3,oral_maxillofacial,2,2,0,0,0,2,Oral & Maxillofacial Surgery,False,True
3,orthopaedics,6,4,2,0,0,4,Orthopaedics,False,True
3,paediatric_medicine,3,3,0,0,0,2,Paediatric Medical Management,False,True
3,paediatric_surgery,1,0,1,0,0,0,Paediatric Surgery,False,True
3,plastic_surgery,1,1,0,0,0,1,Plastic & Reconstructive Surgery,False,True
3,polytrauma,1,1,0,0,0,1,Polytrauma,False,True
3,radiation_oncology,1,1,0,0,0,1,Radiation Oncology,True,True
3,surgical_oncology,1,1,0,0,0,1,Surgical Oncology,False,True
3,urology,5,1,3,1,0,1,Urology,False,True
4,emergency_room,3,3,0,0,0,2,Emergency Room Packages,False,False
4,ent,1,1,0,0,0,0,Otorhinolaryngology (ENT),False,False
4,general_medicine,4,4,0,0,0,3,General Medicine,False,False
4,general_surgery,2,2,0,0,0,1,General Surgery,False,False
4,obgyn,2,2,0,0,0,1,Obstetrics & Gynaecology,False,False
4,ophthalmology,1,1,0,0,0,0,Ophthalmology,False,False
4,oral_maxillofacial,2,2,0,0,0,2,Oral & Maxillofacial Surgery,False,False
4,orthopaedics,2,2,0,0,0,1,Orthopaedics,False,False
4,paediatric_medicine,2,2,0,0,0,1,Paediatric Medical Management,False,False
5,burns,4,3,0,1,0,0,Burns Management,False,False
5,cardiology,7,3,3,1,0,0,Cardiology,True,False
5,ctvs,2,2,0,0,0,0,Cardio-thoracic & Vascular Surgery,True,False
5,emergency_room,14,7,4,1,1,1,Emergency Room Packages,False,False
5,ent,9,5,2,1,0,0,Otorhinolaryngology (ENT),False,False
5,general_medicine,33,16,12,3,1,4,General Medicine,False,False
5,general_surgery,33,10,19,2,1,3,General Surgery,False,False
5,interventional_neuroradiology,3,2,0,1,0,0,Interventional Neuroradiology,True,False
5,medical_oncology,11,2,7,2,0,0,Medical Oncology,False,False
5,mental_disorders,2,1,0,0,1,0,Mental Disorders,False,False
5,neonatal,8,2,4,2,0,0,Neo-natal Care,False,False
5,neurosurgery,5,3,0,2,0,0,Neurosurgery,True,False
5,obgyn,17,10,3,2,1,3,Obstetrics & Gynaecology,False,False
5,ophthalmology,28,8,17,2,1,2,Ophthalmology,False,False
5,oral_maxillofacial,5,3,0,1,1,0,Oral & Maxillofacial Surgery,False,False
5,orthopaedics,21,8,9,2,1,1,Orthopaedics,False,False
5,paediatric_cancer,2,1,0,1,0,0,Paediatric Cancer,False,False
5,paediatric_medicine,16,10,2,2,1,3,Paediatric Medical Management,False,False
5,paediatric_surgery,7,4,0,2,0,0,Paediatric Surgery,False,False
5,plastic_surgery,3,2,0,1,0,0,Plastic & Reconstructive Surgery,False,False
5,polytrauma,5,4,1,0,0,0,Polytrauma,False,False
5,radiation_oncology,4,2,1,1,0,0,Radiation Oncology,True,False
5,surgical_oncology,8,2,5,1,0,0,Surgical Oncology,False,False
5,urology,18,4,11,2,0,0,Urology,False,False
7,cardiology,1,0,1,0,0,0,Cardiology,True,False
7,emergency_room,4,3,1,0,0,2,Emergency Room Packages,False,False
7,ent,1,1,0,0,0,0,Otorhinolaryngology (ENT),False,False
7,general_medicine,7,6,1,0,0,5,General Medicine,False,False
7,general_surgery,7,6,1,0,0,5,General Surgery,False,False
7,obgyn,7,6,1,0,0,5,Obstetrics & Gynaecology,False,False
7,ophthalmology,2,1,1,0,0,0,Ophthalmology,False,False
7,oral_maxillofacial,1,1,0,0,0,0,Oral & Maxillofacial Surgery,False,False
7,orthopaedics,2,1,1,0,0,0,Orthopaedics,False,False
7,paediatric_medicine,3,3,0,0,0,2,Paediatric Medical Management,False,False
7,urology,1,0,1,0,0,0,Urology,False,False
8,cardiology,2,1,0,1,0,0,Cardiology,True,True
8,ctvs,1,1,0,0,0,0,Cardio-thoracic & Vascular Surgery,True,True
8,emergency_room,5,4,0,1,0,0,Emergency Room Packages,False,True
8,ent,8,5,2,1,0,1,Otorhinolaryngology (ENT),False,True
8,general_medicine,8,5,2,1,0,1,General Medicine,False,True
8,general_surgery,12,7,4,1,0,3,General Surgery,False,True
8,mental_disorders,1,1,0,0,0,0,Mental Disorders,False,True
8,neonatal,3,2,0,1,0,0,Neo-natal Care,False,True
8,neurosurgery,1,0,0,1,0,0,Neurosurgery,True,True
8,obgyn,9,7,1,1,0,3,Obstetrics & Gynaecology,False,True
8,ophthalmology,5,4,0,1,0,1,Ophthalmology,False,True
