district_code,hospitals,district_name_english,state_name_english,pop_now,aspirational,hospitals_per_lakh,specialties
1,25,Anantnag,Jammu And Kashmir,1158867.6834221075,False,2.15727820851606,21.0
2,14,Budgam,Jammu And Kashmir,881757.4349712201,False,1.5877382423723991,16.0
3,15,Baramulla,Jammu And Kashmir,1186220.1496902034,True,1.2645207556048887,19.0
4,4,Doda,Jammu And Kashmir,612835.6837561834,False,0.6527035069960776,9.0
5,60,Jammu,Jammu And Kashmir,1936598.9867857902,False,3.0982149845892013,24.0
6,5,Kargil,Ladakh,174551.11169387214,False,2.8644904930591353,
7,7,Kathua,Jammu And Kashmir,729668.3847329078,False,0.9593399065196339,11.0
8,13,Kupwara,Jammu And Kashmir,1172030.2121566117,True,1.1091864241348486,17.0
9,5,Leh Ladakh,Ladakh,165693.81581102536,False,3.0176141309356566,
10,5,Poonch,Jammu And Kashmir,694152.2659007441,False,0.7203030582219467,12.0
11,9,Pulwama,Jammu And Kashmir,696708.9523566635,False,1.291787620864769,14.0
12,11,Rajouri,Jammu And Kashmir,614741.1574428679,False,1.7893710005942307,16.0
13,47,Srinagar,Jammu And Kashmir,1601006.942531314,False,2.935652479163483,24.0
14,4,Udhampur,Jammu And Kashmir,751246.4293388574,False,0.5324484541670625,10.0
15,15,Bilaspur,Himachal Pradesh,483525.1007886491,False,3.1022174392879274,24.0
16,13,Chamba,Himachal Pradesh,568345.432996525,True,2.2873413324462284,21.0
17,17,Hamirpur,Himachal Pradesh,519709.0625173332,False,3.271060911975731,24.0
18,59,Kangra,Himachal Pradesh,1651769.1826613627,False,3.5719276409393985,24.0
19,6,Kinnaur,Himachal Pradesh,91852.22801656192,False,6.5322313127974825,4.0
20,22,Kullu,Himachal Pradesh,455466.4264945463,False,4.830213319853429,14.0
21,6,Lahaul And Spiti,Himachal Pradesh,33565.0269787866,False,17.875749075941616,2.0
22,46,Mandi,Himachal Pradesh,1148234.4872249246,False,4.006150356202389,23.0
23,23,Shimla,Himachal Pradesh,921473.7362462453,False,2.496001686786406,24.0
24,16,Sirmaur,Himachal Pradesh,568464.4530127035,False,2.8145999130120543,18.0
25,33,Solan,Himachal Pradesh,677025.6510801879,False,4.874261403146073,24.0
26,32,Una,Himachal Pradesh,580832.2722552075,False,5.509335746058504,16.0
27,90,Amritsar,Punjab,2950655.5100077447,False,3.0501696892350467,24.0
28,89,Bathinda,Punjab,1659255.0048924421,False,5.363853038717773,24.0
29,17,Faridkot,Punjab,672242.2049387791,False,2.5288504463280734,24.0
30,14,Fatehgarh Sahib,Punjab,655662.3477313789,False,2.1352453817792996,24.0
31,18,Ferozepur,Punjab,934460.9340356236,True,1.9262442488916078,24.0
32,37,Gurdaspur,Punjab,1824942.2055425039,False,2.027461466320844,24.0
33,21,Hoshiarpur,Punjab,1778883.384623915,False,1.1805158326575602,24.0
34,64,Jalandhar,Punjab,2466030.1176819317,False,2.59526432954355,24.0
35,13,Kapurthala,Punjab,874114.0279404953,False,1.4872201548611879,24.0
36,94,Ludhiana,Punjab,4156393.0009868424,False,2.26157632297239,24.0
37,17,Mansa,Punjab,768705.7409588895,False,2.211509436470979,24.0
38,30,Moga,Punjab,1065376.3844717308,True,2.815906231568627,24.0
39,26,Sri Muktsar Sahib,Punjab,1127708.3844097806,False,2.3055605828104104,24.0
40,10,Shahid Bhagat Singh Nagar,Punjab,679887.6432978029,False,1.4708312613970869,24.0
41,64,Patiala,Punjab,2206089.0561679434,False,2.9010614880239842,24.0
42,28,Rupnagar,Punjab,725096.1358046882,False,3.8615569187838115,24.0
43,25,Sangrur,Punjab,1376913.718482959,False,1.8156547984389484,24.0
44,31,Chandigarh,Chandigarh,940788.9137053054,False,3.295106856426085,24.0
45,12,Almora,Uttarakhand,704035.586577016,False,1.7044592956363709,22.0
46,4,Bageshwar,Uttarakhand,291491.27627507417,False,1.372253760426533,13.0
47,9,Chamoli,Uttarakhand,482039.01386750053,False,1.8670687934138577,13.0
48,4,Champawat,Uttarakhand,301481.71760001074,False,1.326780287654782,11.0
49,72,Dehradun,Uttarakhand,2067021.4696598048,False,3.483272963383875,24.0
50,54,Haridwar,Uttarakhand,2343471.993457813,True,2.304273323971862,24.0
51,35,Nainital,Uttarakhand,1117228.6143684431,False,3.132751842359955,24.0
52,13,Pauri Garhwal,Uttarakhand,780997.5414601384,False,1.6645378903108252,22.0
53,11,Pithoragarh,Uttarakhand,552641.2825841503,False,1.9904412403944935,14.0
54,3,Rudra Prayag,Uttarakhand,249022.51932156706,False,1.2047103242602923,9.0
55,10,Tehri Garhwal,Uttarakhand,699331.7328543726,False,1.4299365423022181,13.0
56,63,Udam Singh Nagar,Uttarakhand,1959666.4269139322,True,3.2148328478133865,24.0
57,4,Uttar Kashi,Uttarakhand,414830.5359230782,False,0.9642491701097236,16.0
58,72,Ambala,Haryana,1354651.4967858528,False,5.315020148786059,24.0
59,76,Bhiwani,Haryana,1319359.1693796264,False,5.760372290112315,22.0
60,40,Faridabad,Haryana,2321310.1575147784,False,1.7231648201128134,23.0
61,41,Fatehabad,Haryana,1077649.3248731822,False,3.8045771526674392,15.0
62,62,Gurugram,Haryana,2241701.985464285,False,2.7657556803724295,24.0
63,115,Hisar,Haryana,2088676.3624267369,False,5.505879324759859,24.0
64,49,Jhajjar,Haryana,1093609.1693280942,False,4.480576916715617,19.0
65,42,Jind,Haryana,1576770.3602735875,False,2.663672596732001,17.0
66,29,Kaithal,Haryana,1270675.345024759,False,2.2822509395139745,17.0
67,72,Karnal,Haryana,1775148.097610475,False,4.055999614731814,24.0
68,58,Kurukshetra,Haryana,1124436.8758991428,False,5.158137485807816,23.0
69,59,Mahendragarh,Haryana,1031537.0609012923,False,5.719619995858365,15.0
70,26,Panchkula,Haryana,582290.6269969653,False,4.465124251456568,14.0
71,73,Panipat,Haryana,1434510.4629265154,False,5.088844026349881,24.0
72,47,Rewari,Haryana,1042916.17926015,False,4.506594195646867,21.0
73,64,Rohtak,Haryana,1313265.9724855246,False,4.873346400567417,24.0
74,89,Sirsa,Haryana,1529774.7068365933,False,5.817850145008755,24.0
75,75,Sonipat,Haryana,1759886.3927286929,False,4.261638723378784,22.0
76,56,Yamunanagar,Haryana,1452284.363996737,False,3.855994141938295,23.0
86,70,Ajmer,Rajasthan,2206233.4238236393,False,3.1728283709292415,15.0
87,112,Alwar,Rajasthan,2218628.3523978554,False,5.048164100082483,17.0
88,30,Banswara,Rajasthan,2249951.2993668276,False,1.3333621935924782,9.0
89,22,Baran,Rajasthan,1448696.7961349234,True,1.5186062438113548,15.0
90,46,Barmer,Rajasthan,2070594.6708198558,False,2.221584004260294,11.0
91,62,Bharatpur,Rajasthan,1738918.1324809967,False,3.565435246312698,15.0
92,50,Bhilwara,Rajasthan,2033149.8394425516,False,2.459238322233495,19.0
93,40,Bikaner,Rajasthan,2940137.7171058697,False,1.3604804893076259,20.0
94,23,Bundi,Rajasthan,1421926.7268373582,False,1.6175235731841455,9.0
95,35,Chittorgarh,Rajasthan,1878280.6683681337,False,1.8634062837056349,13.0
96,49,Churu,Rajasthan,2420656.4289155374,False,2.0242443088857582,16.0
97,41,Dausa,Rajasthan,2262890.6371191037,False,1.8118418684253026,14.0
98,14,Dholpur,Rajasthan,1508981.6187562589,True,0.9277780342705008,9.0
99,23,Dungarpur,Rajasthan,1714456.4871219185,False,1.3415330265167835,10.0
100,73,Ganganagar,Rajasthan,1453832.3384993747,False,5.021211735828464,16.0
101,44,Hanumangarh,Rajasthan,2224940.585587418,False,1.9775808974415074,11.0
102,373,Jaipur,Rajasthan,5357741.209993614,False,6.961889075647321,20.0
103,17,Jaisalmer,Rajasthan,831746.0944589318,True,2.043892975663307,5.0
104,34,Jalore,Rajasthan,1231454.0442674311,False,2.760963769478378,15.0
105,27,Jhalawar,Rajasthan,1729997.3435981516,False,1.560696038055399,15.0
106,87,Jhunjhunu,Rajasthan,1326251.8406233843,False,6.559840094857624,18.0
107,121,Jodhpur,Rajasthan,1810930.4292524199,False,6.68164817628862,22.0
108,29,Karauli,Rajasthan,884253.892633446,True,3.2796010559403332,9.0
109,55,Kota,Rajasthan,2385857.4603487123,False,2.3052508757988126,20.0
110,80,Nagaur,Rajasthan,2005145.8623586225,False,3.9897346872260564,15.0
111,47,Pali,Rajasthan,1498571.7215577136,False,3.1363196918693435,15.0
112,27,Rajsamand,Rajasthan,1408982.1389546285,False,1.9162769529521653,10.0
113,35,Sawai Madhopur,Rajasthan,1650657.8869364995,False,2.120366689972169,14.0
114,103,Sikar,Rajasthan,3179380.9399505225,False,3.2396243779961416,20.0
115,20,Sirohi,Rajasthan,1275948.563600002,True,1.5674613045193109,13.0
116,33,Tonk,Rajasthan,1733619.5335962703,False,1.9035318511636663,18.0
117,70,Udaipur,Rajasthan,3004171.3215415636,False,2.3300934769618973,13.0
118,130,Agra,Uttar Pradesh,5357625.080969152,False,2.4264482496502726,24.0
119,91,Aligarh,Uttar Pradesh,4347047.649131718,False,2.093374799288809,24.0
120,190,Prayagraj,Uttar Pradesh,7393932.78377535,False,2.569674428430303,23.0
121,37,Ambedkar Nagar,Uttar Pradesh,3038544.1288927314,False,1.2176884201936236,13.0
122,34,Auraiya,Uttar Pradesh,1664724.9690651596,False,2.042379409920967,12.0
123,84,Azamgarh,Uttar Pradesh,5580758.89195481,False,1.5051716375185804,19.0
124,34,Baghpat,Uttar Pradesh,1497059.5325035995,False,2.2711187672770956,17.0
125,87,Bahraich,Uttar Pradesh,4156731.0540964794,True,2.092990835052007,17.0
126,62,Ballia,Uttar Pradesh,3769569.904936715,False,1.644749973168116,17.0
127,50,Balrampur,Uttar Pradesh,2516517.086674228,True,1.986873058194843,12.0
128,26,Banda,Uttar Pradesh,2190276.1629053843,False,1.187064920868755,10.0
129,71,Bara Banki,Uttar Pradesh,3856710.19049542,False,1.8409472450114168,24.0
130,250,Bareilly,Uttar Pradesh,5099137.658495271,False,4.902789780218911,24.0
131,103,Basti,Uttar Pradesh,2754658.150915965,False,3.739120949209286,19.0
132,111,Bijnor,Uttar Pradesh,4354728.027953579,False,2.5489536725939304,19.0
133,45,Budaun,Uttar Pradesh,3776763.6547610285,False,1.1914963210174012,17.0
134,156,Bulandshahr,Uttar Pradesh,4354092.181344041,False,3.582836410042316,16.0
135,62,Chandauli,Uttar Pradesh,2106003.719874143,True,2.943964410647156,20.0
136,31,Chitrakoot,Uttar Pradesh,1246576.0414481459,True,2.4868117924027593,7.0
137,53,Deoria,Uttar Pradesh,3550874.5767660798,False,1.4925900325172614,14.0
138,21,Etah,Uttar Pradesh,2187288.781987932,False,0.9600927034844484,9.0
139,48,Etawah,Uttar Pradesh,1953323.375618933,False,2.457350411054731,16.0
140,71,Ayodhya,Uttar Pradesh,3390073.162519542,False,2.094350080257028,19.0
141,27,Farrukhabad,Uttar Pradesh,2230034.1291005206,False,1.2107438019744743,23.0
142,55,Fatehpur,Uttar Pradesh,3109074.9002318797,True,1.7690149566965405,12.0
143,55,Firozabad,Uttar Pradesh,2990851.937729205,False,1.8389409153352667,22.0
144,80,Gautam Buddha Nagar,Uttar Pradesh,2467422.7316051503,False,3.2422494522435166,24.0
145,106,Ghaziabad,Uttar Pradesh,4902650.230604972,False,2.162095907603018,24.0
146,35,Ghazipur,Uttar Pradesh,4296014.8444355335,False,0.814708544253151,16.0
147,92,Gonda,Uttar Pradesh,3823288.708329091,False,2.406305330789606,20.0
148,281,Gorakhpur,Uttar Pradesh,5334090.23057485,False,5.26800237441272,24.0
149,37,Hamirpur,Uttar Pradesh,1460520.5529266912,False,2.5333433292572884,23.0
150,62,Hardoi,Uttar Pradesh,4895124.970261643,False,1.2665662342975101,13.0
151,40,Jalaun,Uttar Pradesh,2012736.3035476124,False,1.9873442899348877,10.0
152,147,Jaunpur,Uttar Pradesh,5138390.180373405,False,2.8608181714475713,18.0
153,66,Jhansi,Uttar Pradesh,2331989.565774316,False,2.830201342607007,21.0
154,51,Amroha,Uttar Pradesh,2293327.3798535466,False,2.2238429823855714,18.0
155,45,Kannauj,Uttar Pradesh,1975610.943411449,False,2.2777764088659493,15.0
156,38,Kanpur Dehat,Uttar Pradesh,2100491.7799560716,False,1.8091001527649258,21.0
157,228,Kanpur Nagar,Uttar Pradesh,5254669.809518365,False,4.338997658558838,24.0
158,34,Kaushambi,Uttar Pradesh,1969618.6549881974,False,1.7262224803716502,12.0
159,82,Kheri,Uttar Pradesh,4823593.000151733,False,1.6999775892663533,11.0
160,84,Kushinagar,Uttar Pradesh,4356276.924876296,False,1.9282520704852877,12.0
161,23,Lalitpur,Uttar Pradesh,1501658.4405663058,False,1.5316399108259422,10.0
162,325,Lucknow,Uttar Pradesh,6335741.9623711305,False,5.12962809928531,24.0
163,37,Hathras,Uttar Pradesh,1822513.8095927201,False,2.0301629433616446,14.0
164,49,Mahrajganj,Uttar Pradesh,3372605.8809874007,False,1.4528824810580663,18.0
165,24,Mahoba,Uttar Pradesh,1077540.901067933,False,2.227293643908458,7.0
166,31,Mainpuri,Uttar Pradesh,2186101.261097931,False,1.4180495913730362,12.0
167,91,Mathura,Uttar Pradesh,3123472.7095167013,False,2.913423886264098,24.0
168,54,Mau,Uttar Pradesh,2313272.5339235114,False,2.3343553000394337,20.0
169,153,Meerut,Uttar Pradesh,4079593.0579276234,False,3.7503740649495536,24.0
170,78,Mirzapur,Uttar Pradesh,3160388.6807918786,False,2.4680508595055475,14.0
171,126,Moradabad,Uttar Pradesh,3850200.240233733,False,3.2725570655605947,22.0
172,97,Muzaffarnagar,Uttar Pradesh,3452632.6678107176,False,2.809450333490206,17.0
173,49,Pilibhit,Uttar Pradesh,2553263.3739700923,False,1.919112634424762,14.0
174,87,Pratapgarh,Uttar Pradesh,3982784.634697654,False,2.1844013166583,14.0
175,87,Rae Bareli,Uttar Pradesh,3524298.9327887264,False,2.468576067443807,23.0
176,35,Rampur,Uttar Pradesh,2986893.822995926,False,1.1717858777080385,14.0
177,103,Saharanpur,Uttar Pradesh,4190484.76927858,False,2.4579495135053824,21.0
178,65,Sant Kabir Nagar,Uttar Pradesh,2109385.8755904315,False,3.081465593951892,15.0
179,52,Bhadohi,Uttar Pradesh,1939028.4969751327,False,2.6817553265008502,21.0
180,65,Shahjahanpur,Uttar Pradesh,3644975.4727261416,False,1.783276745930621,18.0
181,23,Shrawasti,Uttar Pradesh,1352151.3346842728,True,1.7009930331038352,11.0
182,27,Siddharthnagar,Uttar Pradesh,3297962.0273067704,True,0.8186874129066044,9.0
183,88,Sitapur,Uttar Pradesh,5428224.860120261,False,1.6211561287100105,14.0
184,32,Sonbhadra,Uttar Pradesh,2312572.608397339,True,1.383740336792135,11.0
185,90,Sultanpur,Uttar Pradesh,2661545.809931744,False,3.3814935540150657,14.0
186,78,Unnao,Uttar Pradesh,3726552.4067450413,False,2.0930874300552,17.0
187,225,Varanasi,Uttar Pradesh,4637690.430088291,False,4.851552801805197,24.0
188,13,Araria,Bihar,3675584.9801701256,True,0.35368519759807837,7.0
189,18,Aurangabad,Bihar,3424661.8635273497,True,0.5255993355636072,13.0
190,12,Banka,Bihar,2817936.253352872,True,0.4258435578775783,11.0
191,48,Begusarai,Bihar,4172850.4782816297,True,1.150292833395897,14.0
192,50,Bhagalpur,Bihar,3893149.0191134466,False,1.2843073757137113,21.0
193,33,Bhojpur,Bihar,3644415.9942203066,False,0.9054948735911276,12.0
194,14,Buxar,Bihar,1997175.830715259,False,0.7009898570115435,11.0
195,51,Darbhanga,Bihar,4890324.16209899,False,1.042875652196237,19.0
196,41,Gaya,Bihar,5730002.880819759,True,0.7155319264714638,16.0
197,22,Gopalganj,Bihar,3220722.3152440246,False,0.683076584897482,12.0
198,16,Jamui,Bihar,2260277.885349742,True,0.7078775624760959,10.0
199,11,Jehanabad,Bihar,1378269.7468148058,False,0.7981021150192916,8.0
200,13,Kaimur (Bhabua),Bihar,1974437.2072152477,False,0.6584154691014581,9.0
