package_code,specialty_code,govt_reserved,referral_basis
BM001A,BM,Yes,No
BM001B,BM,No,--
BM001C,BM,No,--
BM001D,BM,No,--
BM002A,BM,Yes,No
BM002B,BM,No,--
BM002C,BM,No,--
BM002D,BM,No,--
BM003A,BM,Yes,No
BM003B,BM,No,--
BM003C,BM,No,--
BM003D,BM,No,--
BM004A,BM,No,--
BM004B,BM,No,--
BM004C,BM,No,--
BM004D,BM,No,--
BM005A,BM,No,--
BM005B,BM,No,--
BM006A,BM,No,--
BM006B,BM,No,--
BMU100,BM,No,--
ER001A,ER,No,--
ER002A,ER,No,--
ER002B,ER,No,--
ER003A,ER,Yes,No
IN001A,IN,No,--
IN001B,IN,No,--
IN001C,IN,No,--
IN001D,IN,No,--
IN002A,IN,No,--
IN002B,IN,No,--
IN003A,IN,No,--
IN004A,IN,No,--
IN004B,IN,No,--
IN005A,IN,No,--
IN006A,IN,No,--
IN007A,IN,No,--
IN008A,IN,No,--
IN009A,IN,No,--
IN010A,IN,No,--
MC001A,MC,No,--
MC001B,MC,No,--
MC002A,IN,No,--
MC002A,MC,No,--
MC002B,IN,No,--
MC002B,MC,No,--
MC002C,IN,No,--
MC002C,MC,No,--
MC003A,MC,No,--
MC003B,MC,No,--
MC004A,MC,No,--
MC004B,MC,No,--
MC005A,MC,No,--
MC006A,MC,No,--
MC007A,MC,No,--
MC008A,MC,No,--
MC009A,MC,No,--
MC010A,MC,No,--
MC011A,MC,No,--
MC012A,MC,No,--
MC012B,MC,No,--
MC013A,MC,No,--
MC014A,MC,No,--
MC014A,SV,No,--
MC015A,MC,No,--
MC015A,SV,No,--
MC016A,MC,No,--
MC016A,SV,No,--
MC017A,MC,No,--
MC018A,MC,No,--
MC019A,MC,No,--
MC019A,SG,No,--
MC020A,MC,No,--
MG001A,MG,No,--
MG001A,MP,No,--
MG002A,MG,No,--
MG002A,MP,No,--
MG002B,MG,No,--
MG002B,MP,No,--
MG003A,MG,No,--
MG003A,MP,No,--
MG003B,MG,No,--
MG003B,MP,No,--
MG004A,MG,No,--
MG004A,MP,No,--
MG004B,MG,No,--
MG004B,MP,No,--
MG004C,MG,No,--
MG004C,MP,No,--
MG005A,MG,No,--
MG005A,MP,No,--
MG006A,MG,No,--
MG006A,MP,No,--
MG007A,MG,Yes,No
MG007A,MP,No,--
MG008A,MG,No,--
MG008A,MP,No,--
MG009A,MG,Yes,No
MG009A,MP,No,--
MG009B,MG,No,--
MG009B,MP,No,--
MG010A,MG,Yes,No
MG010A,MP,No,--
MG010B,MG,Yes,No
MG010B,MP,No,--
MG011A,MG,No,--
MG011A,MP,No,--
MG012A,MG,No,--
MG012A,MP,No,--
MG013A,MG,No,--
MG013A,MP,No,--
MG014A,MG,Yes,No
MG014A,MP,No,--
MG015A,MG,No,--
MG015A,MP,No,--
MG016A,MG,No,--
MG016A,MP,No,--
MG017A,MG,No,--
MG017A,MP,No,--
MG018A,MG,No,--
MG018A,MP,No,--
MG019A,MG,No,--
MG019A,MP,No,--
MG020A,MG,No,--
MG020A,MP,No,--
MG020B,MG,Yes,No
MG020B,MP,No,--
MG021A,MG,Yes,No
MG021A,MP,No,--
MG022A,MG,No,--
MG022A,MP,No,--
MG023A,MG,No,--
MG023A,MP,No,--
MG024A,MG,Yes,No
MG024A,MP,No,--
MG025A,MG,Yes,No
MG025A,MP,No,--
MG026A,MG,No,--
MG026A,MP,No,--
MG027A,MG,No,--
MG028A,MG,No,--
MG028A,MP,No,--
MG029A,MG,No,--
MG030A,MG,No,--
MG030A,MP,No,--
MG031A,MG,No,--
MG031A,MP,No,--
MG031B,MG,No,--
MG031B,MP,No,--
MG032A,MG,No,--
MG032A,MP,No,--
MG033A,MG,No,--
MG033A,MP,No,--
MG033B,MG,No,--
MG033B,MP,No,--
MG034A,MG,No,--
MG034A,MP,No,--
MG035A,MG,No,--
MG035A,MP,No,--
MG036A,MG,No,--
MG036A,MP,No,--
MG037A,MG,No,--
MG038A,MG,No,--
MG038A,MP,No,--
MG039A,MG,No,--
MG039A,MP,No,--
MG039B,MG,No,--
MG039B,MP,No,--
MG040A,MG,No,--
MG040A,MP,No,--
MG040B,MG,No,--
MG040B,MP,No,--
MG040C,MG,No,--
MG040C,MP,No,--
MG041A,MG,No,--
MG041A,MP,No,--
MG041B,MG,No,--
MG041B,MP,No,--
MG042A,MG,No,--
MG042A,MP,No,--
MG043A,MG,No,--
MG043A,MP,No,--
MG044A,MG,Yes,No
MG045A,MG,No,--
MG045A,MP,No,--
MG046A,MG,No,--
MG046A,MP,No,--
MG047A,MG,No,--
MG047A,MP,No,--
MG048A,MG,No,--
MG049A,MG,No,--
MG049A,MP,No,--
MG049B,MG,No,--
MG049B,MP,No,--
MG049C,MG,No,--
MG049C,MP,No,--
MG049D,MG,No,--
MG049D,MP,No,--
MG050A,MG,No,--
MG050A,MP,No,--
MG051A,MG,No,--
MG051A,MP,No,--
MG052A,MG,No,--
MG052A,MP,No,--
MG053A,MG,No,--
MG053A,MP,No,--
MG054A,MG,No,--
MG055A,MG,No,--
MG055A,MP,No,--
MG056A,MG,No,--
MG056A,MP,No,--
MG057A,MG,No,--
MG057A,MP,No,--
MG058A,MG,Yes,No
MG059A,MG,No,--
MG059A,MP,No,--
MG060A,MG,No,--
MG060A,MP,No,--
MG060B,MG,No,--
MG060B,MP,No,--
MG060C,MG,No,--
MG060C,MP,No,--
MG060D,MG,No,--
MG060D,MP,No,--
MG061A,MG,No,--
MG061A,MP,No,--
MG062A,MG,No,--
MG062A,MP,No,--
MG063A,MG,No,--
MG063A,MP,No,--
MG064A,MG,Yes,No
MG064A,MP,No,--
MG065A,MG,No,--
MG065A,MP,No,--
MG066A,MG,No,--
MG066A,MP,No,--
MG067A,MG,Yes,No
MG067A,MP,No,--
MG068A,MG,No,--
MG068A,MP,No,--
MG069A,MG,No,--
MG069A,MP,No,--
MG070A,MG,No,--
MG070A,MP,No,--
MG071A,MG,No,--
MG071A,MP,No,--
MG071B,MG,No,--
MG071B,MP,No,--
MG072A,MG,No,--
MG072B,MG,No,--
MG073A,MG,Yes,No
MG073A,MP,No,--
MG074A,MG,No,--
MG074A,MP,No,--
MG074B,MG,No,--
MG074B,MP,No,--
MG075A,MG,No,--
MG075A,MP,No,--
MG076A,MG,No,--
MG076A,MP,No,--
MM001A,MM,Yes,No
MM002A,MM,Yes,No
MM003A,MM,Yes,No
MM004A,MM,Yes,No
MM005A,MM,Yes,No
MM006A,MM,Yes,No
MM007A,MM,Yes,No
MM008A,MM,Yes,No
MM009A,MM,Yes,No
MM010A,MM,Yes,No
MN001A,MN,No,--
MN002A,MN,No,--
MN003A,MN,No,--
MN004A,MN,No,--
MN005A,MN,No,--
MN006A,MN,No,--
MN007A,MN,No,--
MN008A,MN,No,--
MN009A,MN,No,--
MN010A,MN,No,--
MN010A,SS,No,--
MO001A,MO,No,--
MO001B,MO,No,--
MO001C,MO,No,--
MO001D,MO,No,--
MO001E,MO,No,--
MO001F,MO,No,--
MO001G,MO,No,--
MO001H,MO,No,--
MO001I,MO,No,--
MO001J,MO,No,--
MO001K,MO,No,--
MO001L,MO,No,--
MO001M,MO,No,--
MO001N,MO,No,--
MO001O,MO,No,--
MO002A,MO,No,--
MO003A,MO,No,--
MO003B,MO,No,--
MO003C,MO,No,--
MO003D,MO,No,--
MO003E,MO,No,--
MO003F,MO,No,--
MO003G,MO,No,--
MO004A,MO,No,--
MO004B,MO,No,--
MO004C,MO,No,--
MO004D,MO,No,--
MO004E,MO,No,--
MO004F,MO,No,--
