package_code,specialty_code,specialty_name,hbp1_code,registry_code
BM001A,BM,HBP 2.0 Procedure Code HBP 1.0 Burns Management,S1100001,S11
BM001B,BM,Burns Management,S1100002,S11
BM001C,BM,Burns Management,S1100003,S11
BM001D,BM,Burns Management,S1100004,S11
BM002A,BM,Burns Management,S1100001,S11
BM002B,BM,Burns Management,S1100002,S11
BM002C,BM,Burns Management,S1100003,S11
BM002D,BM,Burns Management,S1100004,S11
BM003A,BM,Burns Management,S1100001,S11
BM003B,BM,Burns Management,S1100002,S11
BM003C,BM,Burns Management,S1100003,S11
BM003D,BM,Burns Management,S1100004,S11
BM004A,BM,Burns Management,S1100005,S11
BM004B,BM,Burns Management,S1100006,S11
BM004C,BM,Burns Management,S1100006,S11
BM004D,BM,Burns Management,S1100007,S11
BM005A,BM,Burns Management,S1100009,S11
BM005B,BM,Burns Management,S1100010,S11
BM006A,BM,Burns Management,S1100011,S11
BM006B,BM,Burns Management,S1100012,S11
ER001A,ER,Emergency Room Packages,,
ER002A,ER,Emergency Room Packages,M700001,M7
ER002B,ER,Emergency Room Packages,,
ER003A,ER,Emergency Room Packages,M700004,M7
SB001A,ER,"Orthopedics, Emergency Room Packages",,
SU073A,ER,"Urology, Pediatric Surgery, Emergency",S700157,S7
ID001A,ID,"Infectious Diseases, General Medicine",,
ID001B,ID,"Infectious Diseases, General Medicine",,
ID003A,ID,"Infectious Diseases, General Medicine",,
ID005A,ID,"Infectious Diseases, General Medicine",,
IN004A,IN,Not available Interventional Radiology,S900005,S9
IN006A,IN,Not available Interventional Radiology,S900012,S9
IN007A,IN,Not available Interventional Radiology,S900013,S9
IN008A,IN,Interventional Radiology,S900011,S9
IN009A,IN,Interventional Radiology,S900008,S9
MC002A,IN,"Cardiology, Interventional Radiology",S1200039,S12
MC002B,IN,"Cardiology, Interventional Radiology",S1200039,S12
MC002C,IN,"Cardiology, Interventional Radiology",S1200039,S12
SU008A,IN,"Urology, Pediatric Surgery, Interventional Neuroradiology",S700036,S7
MC001A,MC,Cardiology,,
MC001B,MC,Cardiology,,
MC003A,MC,Cardiology,S1200012,S12
MC003B,MC,Cardiology,,
MC004A,MC,None Cardiology,S1200004,S12
MC004B,MC,Cardiology,S1200002,S12
MC005A,MC,Cardiology,S1200003,S12
MC006A,MC,Cardiology,S1200001,S12
MC007A,MC,Cardiology,S1200014,S12
MC008A,MC,Cardiology,S1200015,S12
MC009A,MC,Cardiology,S1200016,S12
MC010A,MC,Cardiology,S1200019,S12
MC011A,MC,Cardiology,S1200024,S12
MC012A,MC,Cardiology,,
MC012B,MC,Cardiology,,
MC013A,MC,Cardiology,S1200027,S12
MC014A,MC,"Cardiology, CTVS",S1200021,S12
MC015A,MC,"Cardiology, CTVS",S1200023,S12
MC016A,MC,"Cardiology, CTVS",S1200022,S12
MC017A,MC,Cardiology,S1200011,S12
MC018A,MC,Cardiology,S1200035,S12
MC019A,MC,"Cardiology, General Surgery",S1200020,S12
MC020A,MC,Cardiology,S1200013,S12
MC021A,MC,Cardiology,,
MG037A,MC,"General Medicine, Cardiology",,
MG031A,MC,"General Medicine, Pediatric Medical Management, Cardiology",M100031,M1
MG031B,MC,"General Medicine, Pediatric Medical Management, Cardiology",M100031,M1
MG036A,MC,"General Medicine, Pediatric Medical Management, Cardiology",,
MG038A,MC,"General Medicine, Pediatric Medical Management, Cardiology",M100008,M1
