hospital_ref,district_code,state,hospital_type,basic_tier,specialties
HOSP-00001,192,BIHAR,Private(For Profit),False,ophthalmology
HOSP-00002,489,MAHARASHTRA,Private(For Profit),False,
HOSP-00003,656,MEGHALAYA,Public,True,emergency_room|ent|general_medicine|general_surgery|obgyn|oral_maxillofacial|paediatric_medicine
HOSP-00004,630,KARNATAKA,Public,True,
HOSP-00005,332,JHARKHAND,Private(For Profit),False,emergency_room|general_medicine|general_surgery|obgyn
HOSP-00006,106,RAJASTHAN,Private(For Profit),False,
HOSP-00007,525,KARNATAKA,Public,True,
HOSP-00008,536,KARNATAKA,Public,False,
HOSP-00009,506,ANDHRA PRADESH,Private(For Profit),False,
HOSP-00010,147,UTTAR PRADESH,Public,True,emergency_room|general_medicine
HOSP-00011,135,UTTAR PRADESH,Private(Not For Profit),False,ophthalmology|orthopaedics
HOSP-00012,511,ANDHRA PRADESH,Private(For Profit),False,
HOSP-00013,265,MIZORAM,Public,False,burns|emergency_room|ent|general_medicine|general_surgery|mental_disorders|neonatal|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_medicine|plastic_surgery|polytrauma
HOSP-00014,164,UTTAR PRADESH,Public,True,emergency_room|general_medicine|obgyn|paediatric_medicine
HOSP-00015,549,KARNATAKA,Public,True,
HOSP-00016,381,CHHATTISGARH,Public,True,emergency_room|general_medicine|general_surgery|obgyn
HOSP-00017,512,TELANGANA,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-00018,152,UTTAR PRADESH,Public,True,general_medicine
HOSP-00019,117,RAJASTHAN,Public,True,emergency_room|general_medicine
HOSP-00020,584,TAMIL NADU,Private(For Profit),False,burns|cardiology|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|neonatal|neurosurgery|obgyn|orthopaedics|paediatric_medicine|paediatric_surgery|plastic_surgery|surgical_oncology|urology
HOSP-00021,171,UTTAR PRADESH,Private(For Profit),False,emergency_room|general_surgery|obgyn|orthopaedics|paediatric_medicine|plastic_surgery|polytrauma
HOSP-00022,482,MAHARASHTRA,GOI,False,emergency_room|general_medicine
HOSP-00023,255,MANIPUR,Private(For Profit),False,general_medicine|medical_oncology|radiation_oncology
HOSP-00024,534,KARNATAKA,Public,True,
HOSP-00025,125,UTTAR PRADESH,Public,True,general_medicine
HOSP-00026,506,ANDHRA PRADESH,Public,True,general_surgery|obgyn
HOSP-00027,631,KARNATAKA,Public,True,
HOSP-00028,172,UTTAR PRADESH,Public,True,emergency_room|general_medicine
HOSP-00029,13,JAMMU AND KASHMIR,Public,False,emergency_room|ent|general_medicine|general_surgery|medical_oncology|ophthalmology|radiation_oncology
HOSP-00030,175,UTTAR PRADESH,Public,True,emergency_room|general_medicine|general_surgery
HOSP-00031,550,KARNATAKA,Public,True,
HOSP-00032,533,KARNATAKA,Public,True,
HOSP-00033,51,UTTARAKHAND,Private(For Profit),False,ent|general_medicine|general_surgery|neonatal|obgyn|orthopaedics|paediatric_medicine|urology
HOSP-00034,527,KARNATAKA,Public,True,
HOSP-00035,458,GUJARAT,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-00036,525,KARNATAKA,Public,True,
HOSP-00037,650,CHHATTISGARH,Public,True,emergency_room|general_medicine|general_surgery|obgyn
HOSP-00038,525,KARNATAKA,Public,False,
HOSP-00039,93,RAJASTHAN,Public,True,emergency_room|general_medicine
HOSP-00040,87,RAJASTHAN,Private(For Profit),False,
HOSP-00041,323,JHARKHAND,Public,True,emergency_room|general_medicine|general_surgery|obgyn|paediatric_medicine
HOSP-00042,102,RAJASTHAN,Public,True,emergency_room|general_medicine
HOSP-00043,99,RAJASTHAN,Public,False,emergency_room|ent|general_medicine|general_surgery|obgyn|orthopaedics|paediatric_medicine
HOSP-00044,148,UTTAR PRADESH,Private(For Profit),False,burns|emergency_room|ent|general_medicine|general_surgery|obgyn|orthopaedics|paediatric_medicine|plastic_surgery|urology
HOSP-00045,654,TRIPURA,Public,True,emergency_room|general_medicine
HOSP-00046,148,UTTAR PRADESH,Public,True,emergency_room|general_medicine
HOSP-00047,487,MAHARASHTRA,Public,False,
HOSP-00048,158,UTTAR PRADESH,Public,True,general_medicine
HOSP-00049,256,MANIPUR,Private(For Profit),False,ent|general_medicine|general_surgery|obgyn|oral_maxillofacial|orthopaedics|paediatric_medicine
HOSP-00050,432,MADHYA PRADESH,Public,True,obgyn
HOSP-00051,539,KARNATAKA,Public,True,paediatric_cancer
HOSP-00052,68,HARYANA,Private(For Profit),False,cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|neonatal|neurosurgery|obgyn|oral_maxillofacial|orthopaedics|paediatric_medicine|paediatric_surgery|polytrauma|urology
HOSP-00053,396,MADHYA PRADESH,Private(For Profit),False,emergency_room|general_medicine|general_surgery|orthopaedics
HOSP-00054,445,GUJARAT,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-00055,482,MAHARASHTRA,Public,False,burns|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_medicine|plastic_surgery|polytrauma|urology
HOSP-00056,34,PUNJAB,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-00057,300,ASSAM,Private(For Profit),False,ophthalmology
