state,state_name,admissions_2024_25,amount_cr_2024_25,avg_claim_rs_2024_25,admissions_2018_25,amount_cr_2018_25,expected_confirmed_fraud_2024_25,expected_innocent_flags_2024_25,nonadmissible_private_cr,nonadmissible_share_of_amount_pct,deempanelled_public_2018_25,deempanelled_private_2018_25,empanelled_public_2018_25,empanelled_private_2018_25,opted_out_2019_25,single_mobile_beneficiaries_2018_21,mental_health_admissions_2022,official_hospitals_2025_03,registry_hospitals_raw,registry_hospitals_in_scope,registry_public_pct,registry_minus_official
ANDAMAN AND NICOBAR ISLANDS,Andaman and Nicobar Islands,653.0,2.2,33691.0,3322.0,10.7,1.0,7.0,,,0.0,0.0,7,0,,,5.0,7,7,7.0,100.0,0
ANDHRA PRADESH,Andhra Pradesh,1575854.0,3195.9,20280.0,7608893.0,17143.7,2837.0,15730.0,,,0.0,246.0,1414,1053,5.0,,129.0,2493,2496,2298.0,60.9,3
ARUNACHAL PRADESH,Arunachal Pradesh,3261.0,6.0,18399.0,5677.0,11.1,6.0,33.0,,,0.0,0.0,46,4,,,24.0,51,51,51.0,90.2,0
ASSAM,Assam,395829.0,783.0,19781.0,1396819.0,2481.9,712.0,3951.0,0.48,0.019,0.0,8.0,183,170,12.0,74.0,799.0,352,352,344.0,51.2,0
BIHAR,Bihar,648593.0,949.6,14641.0,1599351.0,2011.2,1167.0,6474.0,7.26,0.361,0.0,58.0,587,452,,34057.0,139.0,1115,1115,1115.0,52.6,0
CHANDIGARH,Chandigarh,16850.0,18.8,11157.0,62570.0,59.2,30.0,168.0,0.04,0.068,1.0,1.0,7,24,2.0,2.0,23.0,31,31,31.0,22.6,0
CHHATTISGARH,Chhattisgarh,1353485.0,1851.8,13682.0,6916186.0,8165.3,2436.0,13510.0,120.34,1.474,0.0,12.0,1038,585,31.0,5576.0,2561.0,1661,1662,1661.0,62.7,1
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Dadra and Nagar Haveli and Daman and Diu,15954.0,14.0,8775.0,140904.0,111.0,29.0,159.0,0.02,0.018,0.0,0.0,15,5,,2285.0,123.0,20,20,20.0,75.0,0
DELHI,Delhi,,,,,,,,,,,,11,56,,,,73,73,,,0
GOA,Goa,7164.0,1.6,2233.0,12023.0,4.7,13.0,72.0,,,3.0,0.0,14,2,,5.0,,25,16,16.0,87.5,-9
