parameter,value,fraud_share_of_flags,auto_resolution,resolved_at_desk,field_audit,to_human,innocent_show_cause,innocent_suspended,fraud_enforced,fraud_released,flags_per_year,human_reviews_per_year,wrongful_suspensions_per_year
baseline,-,0.1396,0.8668,0.5648,0.4346,0.1332,0.1713,0.0063,0.8037,0.033,211732,28203,1016
fpr,0.005,0.245,0.8582,0.549,0.4502,0.1418,0.1678,0.0057,0.8139,0.0318,120648,17108,458
fpr,0.02,0.075,0.8656,0.5692,0.4302,0.1344,0.1744,0.0049,0.8133,0.0347,393900,52940,1576
fpr,0.05,0.0314,0.8674,0.5694,0.4302,0.1326,0.1826,0.0028,0.8153,0.0446,940402,124697,2257
p_explained,0.3,0.1396,0.8468,0.5068,0.4926,0.1532,0.2837,0.0063,0.8037,0.033,211732,32437,1016
p_explained,0.9,0.1396,0.8812,0.6178,0.3816,0.1188,0.0513,0.0063,0.8037,0.033,211732,25154,1016
field_accuracy,0.7,0.1396,0.8252,0.5648,0.4346,0.1748,0.1917,0.0228,0.712,0.0673,211732,37011,3684
field_accuracy,0.95,0.1396,0.9078,0.5648,0.4346,0.0922,0.1595,0.0008,0.8868,0.0086,211732,19522,127
field_conf,"(0.5, 0.85)",0.1396,0.7802,0.5648,0.4346,0.2198,0.165,0.0044,0.7321,0.0229,211732,46539,720
field_conf,"(0.75, 0.95)",0.1396,0.9242,0.5648,0.4346,0.0758,0.1778,0.0063,0.8682,0.0458,211732,16049,1016
p_certificate,0.5,0.1396,0.8652,0.5606,0.439,0.1348,0.1713,0.0063,0.7908,0.0344,211732,28541,1016
p_certificate,1.0,0.1396,0.8674,0.5674,0.4318,0.1326,0.1713,0.0063,0.8095,0.0315,211732,28076,1016
