km,hospitals_escalated,hospitals_suspended_removing_only_provider,cells_losing_only_provider,districts_losing_a_specialty,population_M_of_those_districts,phantom_cells,p_escalated,p_removes_only_provider,sec_escalations_per_year,suspensions_removing_only_provider_per_year
0,991,0,0,0,0.0,32,0.13767,0.0,1131,0
5,991,0,0,0,0.0,32,0.13767,0.0,1131,0
10,991,0,0,0,0.0,32,0.13767,0.0,1131,0
15,991,0,0,0,0.0,32,0.13767,0.0,1131,0
20,980,11,20,7,19.4,32,0.13619,0.00149,1119,12
25,963,28,87,22,29.3,32,0.13464,0.00303,1106,25
30,934,57,160,43,44.5,32,0.13205,0.00562,1085,46
35,889,102,274,73,83.9,32,0.12615,0.01152,1036,95
40,827,164,434,116,143.3,32,0.12116,0.01651,995,136
45,772,219,571,149,190.3,32,0.11531,0.02237,947,184
50,703,288,718,189,262.2,32,0.10819,0.02949,889,242
55,645,346,866,221,314.6,32,0.10318,0.0345,848,283
60,579,412,1022,260,384.2,32,0.09441,0.04327,776,355
65,522,469,1155,295,450.0,32,0.0859,0.05177,706,425
70,485,506,1223,317,502.6,32,0.07841,0.05926,644,487
75,443,548,1316,339,540.2,32,0.06933,0.06834,570,561
80,420,571,1365,352,566.7,32,0.06596,0.07171,542,589
85,404,587,1433,365,588.6,32,0.06365,0.07402,523,608
90,387,604,1498,374,604.5,32,0.06028,0.0774,495,636
95,377,614,1525,379,626.2,32,0.0548,0.08287,450,681
100,361,630,1559,390,652.0,32,0.05018,0.08749,412,719
105,349,642,1582,396,660.6,32,0.04661,0.09106,383,748
110,338,653,1624,399,668.0,32,0.04338,0.0943,356,775
115,333,658,1639,402,671.7,32,0.04145,0.09623,340,791
120,327,664,1667,405,676.0,32,0.039,0.09867,320,811
125,325,666,1671,407,682.9,32,0.03834,0.09933,315,816
130,323,668,1674,407,682.9,32,0.03823,0.09944,314,817
135,322,669,1675,407,682.9,32,0.03811,0.09956,313,818
140,322,669,1675,407,682.9,32,0.03811,0.09956,313,818
145,322,669,1675,407,682.9,32,0.03811,0.09956,313,818
150,322,669,1675,407,682.9,32,0.03811,0.09956,313,818
155,320,671,1677,409,687.0,32,0.03689,0.10078,303,828
160,320,671,1677,409,687.0,32,0.03689,0.10078,303,828
165,320,671,1677,409,687.0,32,0.03689,0.10078,303,828
170,317,674,1691,411,689.9,32,0.03551,0.10216,292,839
175,317,674,1691,411,689.9,32,0.03551,0.10216,292,839
180,317,674,1691,411,689.9,32,0.03551,0.10216,292,839
185,317,674,1691,411,689.9,32,0.03551,0.10216,292,839
190,317,674,1691,411,689.9,32,0.03551,0.10216,292,839
195,317,674,1691,411,689.9,32,0.03551,0.10216,292,839
200,317,674,1691,411,689.9,32,0.03551,0.10216,292,839
